state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,leaf sev. (%) ,rust resp (0-9),BYD virus (0-9)
Texas,Prosper,3 replications,CI1442,1,769,.,30,122,73,8,5.3
Texas,Prosper,3 replications,CI13996,2,1542,56.1,30,117,70,8,6
Texas,Prosper,3 replications,PI495594,3,2408,56.7,28,103,77,8,6
Texas,Prosper,3 replications,OK88767-11,4,2430,59,26,103,1,8,5.2
Texas,Prosper,3 replications,OK88767-02,5,2896,59,28,103,5,8,3.3
Texas,Prosper,3 replications,OK90604,6,2663,58.4,24,103,20,8,4.7
Texas,Prosper,3 replications,OK90649,7,2919,58.8,28,102,8,7,6.3
Texas,Prosper,3 replications,OK91783,8,2975,58.5,25,102,4,7,6.3
Texas,Prosper,3 replications,HBZ374C,9,3201,60.7,28,106,27,8,1.2
Texas,Prosper,3 replications,TX90D9277,10,3363,58.9,25,103,0,.,6.2
Texas,Prosper,3 replications,TX89A7137,11,2208,56.5,25,102,67,8,5.8
Texas,Prosper,3 replications,TX91V4931,12,2233,61.7,26,105,17,8,6
Texas,Prosper,3 replications,TX90V8410,13,2060,59.4,26,109,4,8,6.3
Texas,Prosper,3 replications,TX90V7911,14,2132,56.1,27,114,13,8,7.5
Texas,Prosper,3 replications,TX91V3308,15,2598,57.9,25,104,1,7,5.7
Texas,Prosper,3 replications,TX89A7141,16,2058,56.3,26,101,80,8,5.7
Texas,Prosper,3 replications,TX90V6313,17,2349,58.7,27,102,7,8,5.2
Texas,Prosper,3 replications,TX92V4135,18,2553,58.9,26,100,8,7,4.3
Texas,Prosper,3 replications,HBE0726-1,19,2773,58.7,26,106,0,.,1.8
Texas,Prosper,3 replications,CO880169,20,2242,57.7,26,108,33,8,5.5
Texas,Prosper,3 replications,CO880210,21,2836,58.2,27,106,67,8,4.2
Texas,Prosper,3 replications,CO910927,22,1984,55.3,23,102,80,8,8
Texas,Prosper,3 replications,KS92PO59E,23,2715,58,26,106,0,.,4.3
Texas,Prosper,3 replications,KS92PO263-137,24,2775,59.8,29,107,8,7,2.8
Texas,Prosper,3 replications,KS92PO363-134,25,2464,58.3,25,106,0,.,4
Texas,Prosper,3 replications,KS92PO425-155,26,2887,55.2,22,107,2,7,4.2
Texas,Prosper,3 replications,KS84063-9-39-3,27,2829,58.5,26,102,0,.,5.2
Texas,Prosper,3 replications,KS93U206,28,2807,59.7,28,102,1,8,6.2
Texas,Prosper,3 replications,N87V106,29,2638,60.4,26,104,8,8,2.7
Texas,Prosper,3 replications,NE90479,30,2822,60.3,28,114,7,7,3.2
Texas,Prosper,3 replications,NE90524,31,3206,60.6,30,108,2,8,2.7
Texas,Prosper,3 replications,NE91608,32,2634,59.4,28,109,7,8,3.2
Texas,Prosper,3 replications,NE91635,33,2047,57.6,28,105,47,8,4.3
Texas,Prosper,3 replications,NE91651,34,2589,57.2,27,103,12,8,5.3
Texas,Prosper,3 replications,XH1520,35,2995,59.3,29,102,13,8,2.3
Texas,Prosper,3 replications,XH1529,36,3167,59.6,25,102,17,7,3.7
Texas,Prosper,3 replications,XH1689,37,3369,59.4,27,107,7,8,3.7
Texas,Prosper,3 replications,XH1693,38,3069,59.4,28,102,63,8,2.5
Texas,Prosper,3 replications,XH1706,39,2923,57.8,26,103,30,8,2.5
Texas,Prosper,3 replications,WI89-273-13,40,2990,59.6,23,107,5,7,4
Texas,Prosper,3 replications,WI89-189-14,41,2979,60.3,26,101,8,7,3.7
Texas,Prosper,3 replications,T4731,42,3105,55.8,27,108,33,8,6.2
Texas,Prosper,3 replications,T4732,43,3125,56.1,30,107,23,8,3.3
Texas,Prosper,3 replications,T81,44,3125,59.5,27,104,8,8,5.8
Texas,Prosper,3 replications,T83,45,3002,56.6,28,106,8,8,2.8
