state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl,plant height (cm),days to heading from 1/1
Oklahoma,Goodwell,3 replications,CI1442,1,1412,71.8,102,135
Oklahoma,Goodwell,3 replications,CI13996,2,2042,72.9,83,127
Oklahoma,Goodwell,3 replications,PI495594,3,2141,71.8,80,122
Oklahoma,Goodwell,3 replications,HBZ374C,4,3129,72.5,80,127
Oklahoma,Goodwell,3 replications,OK91P648,5,3210,69.8,73,124
Oklahoma,Goodwell,3 replications,OK93P735,6,2922,70.9,77,128
Oklahoma,Goodwell,3 replications,OK93P656,7,2836,74.8,78,123
Oklahoma,Goodwell,3 replications,OK93P727,8,2731,71.7,77,127
Oklahoma,Goodwell,3 replications,TX91D6913,9,3785,68.7,85,126
Oklahoma,Goodwell,3 replications,TX91D6991,10,3379,69.1,80,126
Oklahoma,Goodwell,3 replications,TX90V6313,11,2154,70.2,73,125
Oklahoma,Goodwell,3 replications,TX92V4135,12,2696,72.9,73,120
Oklahoma,Goodwell,3 replications,HBE0726-1,13,3426,70.5,80,127
Oklahoma,Goodwell,3 replications,TX92V3108,14,3043,75.7,80,123
Oklahoma,Goodwell,3 replications,HBI0531-A2,15,3583,74.4,80,124
Oklahoma,Goodwell,3 replications,TX93V5919,16,2612,71.1,78,129
Oklahoma,Goodwell,3 replications,TX93V5922,17,2453,71.9,80,125
Oklahoma,Goodwell,3 replications,TX93V4927,18,2438,72.4,70,128
Oklahoma,Goodwell,3 replications,TX92V2519,19,2653,69.8,70,124
Oklahoma,Goodwell,3 replications,CO890323,20,2510,73.5,78,124
Oklahoma,Goodwell,3 replications,CO900166,21,2623,71.4,77,124
Oklahoma,Goodwell,3 replications,KS92PO263-137,22,2764,71.9,88,126
Oklahoma,Goodwell,3 replications,KS93U206,23,2291,73.4,75,125
Oklahoma,Goodwell,3 replications,KS91H153-2,24,2394,76.1,73,128
Oklahoma,Goodwell,3 replications,N93L058,25,2618,70.6,70,126
Oklahoma,Goodwell,3 replications,NE91651,26,2608,69.1,77,123
Oklahoma,Goodwell,3 replications,NE90476,27,3122,73.3,83,127
Oklahoma,Goodwell,3 replications,NE92458,28,2608,73.1,85,126
Oklahoma,Goodwell,3 replications,NE92614,29,2615,73.2,87,129
Oklahoma,Goodwell,3 replications,NE92646,30,3045,68.2,85,127
Oklahoma,Goodwell,3 replications,XH1706,31,3093,71,85,124
Oklahoma,Goodwell,3 replications,XH1752,32,3083,71.8,78,126
Oklahoma,Goodwell,3 replications,XH1778,33,2699,71.2,72,125
Oklahoma,Goodwell,3 replications,XH1798,34,3280,74.6,78,122
Oklahoma,Goodwell,3 replications,W91-091,35,2184,70.7,68,124
Oklahoma,Goodwell,3 replications,W91-287,36,2594,71,80,124
Oklahoma,Goodwell,3 replications,AP 7501,37,2646,69.3,77,126
Oklahoma,Goodwell,3 replications,WX92-0408,38,2941,70.9,75,125
Oklahoma,Goodwell,3 replications,WI89-163W,39,3687,74.9,77,128
Oklahoma,Goodwell,3 replications,WI90-540W,40,1583,70.9,58,122
Oklahoma,Goodwell,3 replications,W88-2619W,41,2140,69.8,78,124
Oklahoma,Goodwell,3 replications,T702,42,2337,74,82,125
Oklahoma,Goodwell,3 replications,T834,43,2958,71.9,82,126
Oklahoma,Goodwell,3 replications,T812,44,2846,74.8,82,116
Oklahoma,Goodwell,3 replications,T861,45,2049,71.2,78,122
