state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,lodging (%),grn leaf duration (0-9)
Kansas,Manhattan,3 replications,CI1442,1,238,.,95,142,93,9
Kansas,Manhattan,3 replications,CI13996,2,299,.,98,141,67,9
Kansas,Manhattan,3 replications,PI495594,3,912,70.1,87,132,0,9
Kansas,Manhattan,3 replications,HBZ374C,4,1444,74.2,93,135,10,6
Kansas,Manhattan,3 replications,OK91P648,5,1772,65.7,88,136,2,7
Kansas,Manhattan,3 replications,OK93P735,6,1116,73.3,88,135,0,9
Kansas,Manhattan,3 replications,OK93P656,7,1247,71.5,88,133,3,9
Kansas,Manhattan,3 replications,OK93P727,8,993,72.9,92,133,3,9
Kansas,Manhattan,3 replications,TX91D6913,9,984,65.6,95,140,0,6
Kansas,Manhattan,3 replications,TX91D6991,10,1749,69.2,95,135,0,9
Kansas,Manhattan,3 replications,TX90V6313,11,1018,68.5,87,133,27,9
Kansas,Manhattan,3 replications,TX92V4135,12,1153,73,88,133,0,9
Kansas,Manhattan,3 replications,HBE0726-1,13,1299,70,87,139,27,8
Kansas,Manhattan,3 replications,TX92V3108,14,1438,73.7,85,134,0,9
Kansas,Manhattan,3 replications,HBI0531-A2,15,1969,69.7,93,137,0,9
Kansas,Manhattan,3 replications,TX93V5919,16,752,65.7,92,134,0,9
Kansas,Manhattan,3 replications,TX93V5922,17,1325,72.2,92,134,0,7
Kansas,Manhattan,3 replications,TX93V4927,18,833,71.2,83,139,0,5
Kansas,Manhattan,3 replications,TX92V2519,19,929,71.3,90,139,3,7
Kansas,Manhattan,3 replications,CO890323,20,700,68.3,90,136,40,9
Kansas,Manhattan,3 replications,CO900166,21,857,73.1,88,138,47,9
Kansas,Manhattan,3 replications,KS92PO263-137,22,1386,70.2,90,135,0,7
Kansas,Manhattan,3 replications,KS93U206,23,1402,73.3,92,133,0,7
Kansas,Manhattan,3 replications,KS91H153-2,24,792,73.1,88,139,7,8
Kansas,Manhattan,3 replications,N93L058,25,1034,66.5,88,140,0,9
Kansas,Manhattan,3 replications,NE91651,26,1136,67.7,95,133,3,9
Kansas,Manhattan,3 replications,NE90476,27,1004,68.9,92,140,30,9
Kansas,Manhattan,3 replications,NE92458,28,1227,69.8,92,134,23,9
Kansas,Manhattan,3 replications,NE92614,29,957,73.2,100,141,7,9
Kansas,Manhattan,3 replications,NE92646,30,593,70.7,97,141,0,9
Kansas,Manhattan,3 replications,XH1706,31,609,66.8,95,133,0,9
Kansas,Manhattan,3 replications,XH1752,32,1262,73.9,97,1336,10,9
Kansas,Manhattan,3 replications,XH1778,33,1234,74.9,87,135,0,4
Kansas,Manhattan,3 replications,XH1798,34,1412,74.1,92,134,20,7
Kansas,Manhattan,3 replications,W91-091,35,1096,68.3,87,133,3,9
Kansas,Manhattan,3 replications,W91-287,36,1139,69.5,90,134,0,7
Kansas,Manhattan,3 replications,AP 7501,37,1074,71,93,138,0,7
Kansas,Manhattan,3 replications,WX92-0408,38,2118,71.2,90,135,0,5
Kansas,Manhattan,3 replications,WI89-163W,39,511,57.5,87,139,0,9
Kansas,Manhattan,3 replications,WI90-540W,40,875,67.2,87,133,0,9
Kansas,Manhattan,3 replications,W88-2619W,41,1007,69.6,90,137,0,9
Kansas,Manhattan,3 replications,T702,42,1192,70.2,88,136,3,9
Kansas,Manhattan,3 replications,T834,43,819,70.6,90,139,17,9
Kansas,Manhattan,3 replications,T812,44,1411,72,90,133,0,9
Kansas,Manhattan,3 replications,T861,45,2128,71.1,90,132,3,9
