state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl)
Colorado,Julesburg,3 replications,CI1442,1,1917,76.9
Colorado,Julesburg,3 replications,CI13996,2,2775,77.1
Colorado,Julesburg,3 replications,PI495594,3,2943,76
Colorado,Julesburg,3 replications,HBZ374C,4,3832,79.5
Colorado,Julesburg,3 replications,OK91P648,5,3902,75
Colorado,Julesburg,3 replications,OK93P735,6,3553,77.3
Colorado,Julesburg,3 replications,OK93P656,7,3586,79.2
Colorado,Julesburg,3 replications,OK93P727,8,3611,77.9
Colorado,Julesburg,3 replications,TX91D6913,9,3807,76
Colorado,Julesburg,3 replications,TX91D6991,10,4190,76.3
Colorado,Julesburg,3 replications,TX90V6313,11,3420,76
Colorado,Julesburg,3 replications,TX92V4135,12,2492,75.5
Colorado,Julesburg,3 replications,HBE0726-1,13,3739,74.7
Colorado,Julesburg,3 replications,TX92V3108,14,4369,79.8
Colorado,Julesburg,3 replications,HBI0531-A2,15,4322,76.4
Colorado,Julesburg,3 replications,TX93V5919,16,4530,78
Colorado,Julesburg,3 replications,TX93V5922,17,4081,78.7
Colorado,Julesburg,3 replications,TX93V4927,18,3768,76.9
Colorado,Julesburg,3 replications,TX92V2519,19,3887,76.6
Colorado,Julesburg,3 replications,CO890323,20,3179,75.3
Colorado,Julesburg,3 replications,CO900166,21,3275,77.3
Colorado,Julesburg,3 replications,KS92PO263-137,22,3635,77
Colorado,Julesburg,3 replications,KS93U206,23,3526,77.2
Colorado,Julesburg,3 replications,KS91H153-2,24,3357,78.8
Colorado,Julesburg,3 replications,N93L058,25,3947,75.8
Colorado,Julesburg,3 replications,NE91651,26,3859,75
Colorado,Julesburg,3 replications,NE90476,27,3552,77.3
Colorado,Julesburg,3 replications,NE92458,28,3941,78.3
Colorado,Julesburg,3 replications,NE92614,29,3462,77.6
Colorado,Julesburg,3 replications,NE92646,30,4193,75.4
Colorado,Julesburg,3 replications,XH1706,31,4035,76.6
Colorado,Julesburg,3 replications,XH1752,32,4471,78.1
Colorado,Julesburg,3 replications,XH1778,33,3203,73.1
Colorado,Julesburg,3 replications,XH1798,34,4294,78.4
Colorado,Julesburg,3 replications,W91-091,35,4048,76.9
Colorado,Julesburg,3 replications,W91-287,36,3648,77.7
Colorado,Julesburg,3 replications,AP 7501,37,4517,76.9
Colorado,Julesburg,3 replications,WX92-0408,38,4550,78.2
Colorado,Julesburg,3 replications,WI89-163W,39,4190,80.9
Colorado,Julesburg,3 replications,WI90-540W,40,2832,74.8
Colorado,Julesburg,3 replications,W88-2619W,41,4331,77.9
Colorado,Julesburg,3 replications,T702,42,3748,76.9
Colorado,Julesburg,3 replications,T834,43,4060,76.4
Colorado,Julesburg,3 replications,T812,44,4249,77.8
Colorado,Julesburg,3 replications,T861,45,3651,77.5
,Julesburg,3 replications,YUMA,46,4232,75.2
,Julesburg,3 replications,AKRON,47,4150,75.9
,Julesburg,3 replications,LAMAR,48,3305,78.7
,Julesburg,3 replications,HALT,49,3668,74.4
,Julesburg,3 replications,NE84557,50,3387,79.8
