state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),lodging (0-9)
Colorado,Burlington,3 replications,CI1442,1,2248,72.9,117,7
Colorado,Burlington,3 replications,CI13996,2,2530,72.1,112,8
Colorado,Burlington,3 replications,PI495594,3,4280,76.2,94,2
Colorado,Burlington,3 replications,HBZ374C,4,5540,78.1,99,2
Colorado,Burlington,3 replications,OK91P648,5,5187,72.7,89,4
Colorado,Burlington,3 replications,OK93P735,6,5596,75.8,99,2
Colorado,Burlington,3 replications,OK93P656,7,4953,76.2,91,4
Colorado,Burlington,3 replications,OK93P727,8,4767,74.2,91,2
Colorado,Burlington,3 replications,TX91D6913,9,5775,73.7,97,3
Colorado,Burlington,3 replications,TX91D6991,10,5369,74.2,89,2
Colorado,Burlington,3 replications,TX90V6313,11,4843,73.7,89,4
Colorado,Burlington,3 replications,TX92V4135,12,4428,76.2,86,3
Colorado,Burlington,3 replications,HBE0726-1,13,6274,74.7,104,2
Colorado,Burlington,3 replications,TX92V3108,14,4702,75.8,89,4
Colorado,Burlington,3 replications,HBI0531-A2,15,6179,74.5,86,2
Colorado,Burlington,3 replications,TX93V5919,16,5552,76.4,99,2
Colorado,Burlington,3 replications,TX93V5922,17,5932,76.9,86,2
Colorado,Burlington,3 replications,TX93V4927,18,4559,74.5,79,3
Colorado,Burlington,3 replications,TX92V2519,19,5475,76.2,84,3
Colorado,Burlington,3 replications,CO890323,20,4237,74.3,102,7
Colorado,Burlington,3 replications,CO900166,21,4491,75.9,99,3
Colorado,Burlington,3 replications,KS92PO263-137,22,3947,75.8,97,3
Colorado,Burlington,3 replications,KS93U206,23,5046,77.7,89,3
Colorado,Burlington,3 replications,KS91H153-2,24,4184,78.3,84,4
Colorado,Burlington,3 replications,N93L058,25,4163,72.4,76,3
Colorado,Burlington,3 replications,NE91651,26,4822,71,97,4
Colorado,Burlington,3 replications,NE90476,27,3838,74.3,76,4
Colorado,Burlington,3 replications,NE92458,28,5109,76.1,99,3
Colorado,Burlington,3 replications,NE92614,29,3656,74.4,99,6
Colorado,Burlington,3 replications,NE92646,30,4687,74,97,4
Colorado,Burlington,3 replications,XH1706,31,5719,73.5,86,3
Colorado,Burlington,3 replications,XH1752,32,4506,75.8,102,4
Colorado,Burlington,3 replications,XH1778,33,5277,74.7,89,2
Colorado,Burlington,3 replications,XH1798,34,5710,75.1,102,3
Colorado,Burlington,3 replications,W91-091,35,5500,75.9,86,2
Colorado,Burlington,3 replications,W91-287,36,4852,75.2,97,2
Colorado,Burlington,3 replications,AP 7501,37,4772,74.2,91,2
Colorado,Burlington,3 replications,WX92-0408,38,5942,75.9,89,2
Colorado,Burlington,3 replications,WI89-163W,39,5609,78.5,81,2
Colorado,Burlington,3 replications,WI90-540W,40,3597,72.2,76,3
Colorado,Burlington,3 replications,W88-2619W,41,4694,73.6,97,2
Colorado,Burlington,3 replications,T702,42,5136,76.8,91,2
Colorado,Burlington,3 replications,T834,43,5089,72.5,97,4
Colorado,Burlington,3 replications,T812,44,5163,75.9,99,4
Colorado,Burlington,3 replications,T861,45,5009,75.5,89,3
Colorado,Burlington,3 replications,YUMA,46,4911,70.8,97,2
Colorado,Burlington,3 replications,AKRON,47,3510,71.5,86,2
Colorado,Burlington,3 replications,LAMAR,48,3194,74.1,107,5
Colorado,Burlington,3 replications,HALT,49,3397,68.8,86,5
Colorado,Burlington,3 replications,NE84557,50,3738,75.9,99,6
