state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,grn leaf duration (0-9)
South Dakota,Winner,3 replications,CI1442,1,966,73.4,101,162,4.7
South Dakota,Winner,3 replications,CI13996,2,1038,73.4,96,161,5
South Dakota,Winner,3 replications,PI495594,3,3188,76.2,91,156,4
South Dakota,Winner,3 replications,HBZ374C,4,2663,73.2,90,159,3
South Dakota,Winner,3 replications,OK91P648,5,2948,69.4,86,156,3.7
South Dakota,Winner,3 replications,OK93P735,6,1753,68.9,80,159,3
South Dakota,Winner,3 replications,OK93P656,7,2177,73.7,89,158,5
South Dakota,Winner,3 replications,OK93P727,8,1661,72.3,86,158,4
South Dakota,Winner,3 replications,TX91D6913,9,2318,68.2,85,159,3.7
South Dakota,Winner,3 replications,TX91D6991,10,1926,66,80,159,3
South Dakota,Winner,3 replications,TX90V6313,11,2455,72.6,86,158,5
South Dakota,Winner,3 replications,TX92V4135,12,1412,67.3,83,157,4
South Dakota,Winner,3 replications,HBE0726-1,13,1899,67.9,80,159,3.3
South Dakota,Winner,3 replications,TX92V3108,14,2275,74.9,86,158,3.3
South Dakota,Winner,3 replications,HBI0531-A2,15,3069,66.1,81,159,3
South Dakota,Winner,3 replications,TX93V5919,16,2710,69.4,88,158,3.3
South Dakota,Winner,3 replications,TX93V5922,17,2883,72.9,87,158,3.3
South Dakota,Winner,3 replications,TX93V4927,18,2428,74.1,81,159,3.7
South Dakota,Winner,3 replications,TX92V2519,19,2755,75.3,85,158,3.7
South Dakota,Winner,3 replications,CO890323,20,2764,78.3,97,159,5
South Dakota,Winner,3 replications,CO900166,21,2461,75.9,90,160,4
South Dakota,Winner,3 replications,KS92PO263-137,22,2562,71.5,88,159,2.7
South Dakota,Winner,3 replications,KS93U206,23,3324,77.8,94,157,4
South Dakota,Winner,3 replications,KS91H153-2,24,2497,76.5,89,158,3.7
South Dakota,Winner,3 replications,N93L058,25,2271,67,83,158,5
South Dakota,Winner,3 replications,NE91651,26,2035,69.6,91,158,4.3
South Dakota,Winner,3 replications,NE90476,27,2221,70.1,92,158,4.7
South Dakota,Winner,3 replications,NE92458,28,1854,69.7,94,158,4.7
South Dakota,Winner,3 replications,NE92614,29,1760,71.3,101,160,4.7
South Dakota,Winner,3 replications,NE92646,30,2378,72.1,89,158,3.7
South Dakota,Winner,3 replications,XH1706,31,2168,70.8,88,158,3
South Dakota,Winner,3 replications,XH1752,32,2107,72.9,92,159,4.3
South Dakota,Winner,3 replications,XH1778,33,1475,67.6,82,159,3.3
South Dakota,Winner,3 replications,XH1798,34,2372,71.9,91,158,3.7
South Dakota,Winner,3 replications,W91-091,35,2609,73,82,157,4
South Dakota,Winner,3 replications,W91-287,36,2251,70.7,80,158,3.7
South Dakota,Winner,3 replications,AP 7501,37,2437,69.4,82,159,2.7
South Dakota,Winner,3 replications,WX92-0408,38,3466,72.5,86,159,2.7
South Dakota,Winner,3 replications,WI89-163W,39,2367,74.2,81,160,3.7
South Dakota,Winner,3 replications,WI90-540W,40,1562,69.6,80,157,4.7
South Dakota,Winner,3 replications,W88-2619W,41,1818,69.8,81,159,3
South Dakota,Winner,3 replications,T702,42,3694,77,80,159,2.3
South Dakota,Winner,3 replications,T834,43,3111,74.2,90,158,3.3
South Dakota,Winner,3 replications,T812,44,3349,75.7,86,157,3
South Dakota,Winner,3 replications,T861,45,3871,77,91,156,3
