state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,lodging (%),winter survival (%),BYD virus (%)
Missouri,Columbia,3 replications,CI1442,1,1386,69.6,130,141,7,93,2
Missouri,Columbia,3 replications,CI13996,2,1926,69.1,125,135,7,92,5
Missouri,Columbia,3 replications,PI495594,3,2428,65.9,105,129,1,90,8
Missouri,Columbia,3 replications,HBZ374C,4,2711,72.8,103,133,0,90,11
Missouri,Columbia,3 replications,OK91P648,5,3741,69.8,98,132,2,94,7
Missouri,Columbia,3 replications,OK93P735,6,2843,71,97,134,1,93,13
Missouri,Columbia,3 replications,OK93P656,7,2921,68.2,102,131,2,95,7
Missouri,Columbia,3 replications,OK93P727,8,3310,71.8,101,132,1,95,3
Missouri,Columbia,3 replications,TX91D6913,9,3341,68,107,135,1,92,4
Missouri,Columbia,3 replications,TX91D6991,10,2770,70.1,101,133,0,91,5
Missouri,Columbia,3 replications,TX90V6313,11,2233,64.4,103,132,2,95,6
Missouri,Columbia,3 replications,TX92V4135,12,2730,69.4,102,130,1,96,5
Missouri,Columbia,3 replications,HBE0726-1,13,2453,68.8,104,135,0,92,5
Missouri,Columbia,3 replications,TX92V3108,14,2831,70.7,102,131,2,95,5
Missouri,Columbia,3 replications,HBI0531-A2,15,2603,71.6,101,133,1,92,8
Missouri,Columbia,3 replications,TX93V5919,16,2669,65.1,103,132,0,85,10
Missouri,Columbia,3 replications,TX93V5922,17,2241,72.7,102,132,0,82,8
Missouri,Columbia,3 replications,TX93V4927,18,2689,68.9,97,134,1,95,4
Missouri,Columbia,3 replications,TX92V2519,19,2644,68.5,100,134,1,94,4
Missouri,Columbia,3 replications,CO890323,20,2601,67.7,108,133,4,98,6
Missouri,Columbia,3 replications,CO900166,21,3467,69.1,108,134,1,97,5
Missouri,Columbia,3 replications,KS92PO263-137,22,2746,69.2,106,134,0,93,2
Missouri,Columbia,3 replications,KS93U206,23,2039,67.2,106,130,1,94,8
Missouri,Columbia,3 replications,KS91H153-2,24,2122,72.3,106,134,0,93,12
Missouri,Columbia,3 replications,N93L058,25,3096,66.7,102,135,1,90,6
Missouri,Columbia,3 replications,NE91651,26,2642,68.5,110,132,3,93,6
Missouri,Columbia,3 replications,NE90476,27,2855,68.8,107,135,3,91,5
Missouri,Columbia,3 replications,NE92458,28,2605,70.8,108,133,2,97,5
Missouri,Columbia,3 replications,NE92614,29,2558,68.7,123,136,5,97,7
Missouri,Columbia,3 replications,NE92646,30,2747,65.7,105,136,1,93,3
Missouri,Columbia,3 replications,XH1706,31,2900,68,110,132,2,94,6
Missouri,Columbia,3 replications,XH1752,32,3876,71.8,111,134,2,96,4
Missouri,Columbia,3 replications,XH1778,33,3130,65.8,99,134,0,97,4
Missouri,Columbia,3 replications,XH1798,34,4079,72.9,102,130,2,97,4
Missouri,Columbia,3 replications,W91-091,35,2548,69.3,99,131,0,98,3
Missouri,Columbia,3 replications,W91-287,36,2078,66.7,99,132,0,97,7
Missouri,Columbia,3 replications,AP 7501,37,3309,70,102,135,0,91,4
Missouri,Columbia,3 replications,WX92-0408,38,3724,72.4,100,132,1,94,4
Missouri,Columbia,3 replications,WI89-163W,39,2864,70.7,96,135,0,91,3
Missouri,Columbia,3 replications,WI90-540W,40,1401,61.7,96,130,1,94,16
Missouri,Columbia,3 replications,W88-2619W,41,2392,68.7,97,132,1,95,3
Missouri,Columbia,3 replications,T702,42,2839,69.2,100,134,1,92,12
Missouri,Columbia,3 replications,T834,43,3234,63.6,108,135,4,97,2
Missouri,Columbia,3 replications,T812,44,2338,66.4,106,130,1,94,9
Missouri,Columbia,3 replications,T861,45,2712,69.8,107,130,1,95,9
