state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (kg/hl),days to heading from 1/1,stripe rust sev,stripe rust resp
Washington,Lind,4 replications,CI1442,1,4159,78.7,120,146,20,3
Washington,Lind,4 replications,CI13996,2,4441,79.9,109,142,40,8
Washington,Lind,4 replications,PI495594,3,4479,80.1,84,141,90,8
Washington,Lind,4 replications,HBZ374C,4,5260,81.4,93,142,75,8
Washington,Lind,4 replications,OK91P648,5,4744,79,79,142,80,8
Washington,Lind,4 replications,OK93P735,6,4216,80.3,77,143,90,8
Washington,Lind,4 replications,OK93P656,7,4378,80.7,83,141,75,8
Washington,Lind,4 replications,OK93P727,8,4683,81.1,79,142,60,8
Washington,Lind,4 replications,TX91D6913,9,5153,78.3,86,143,80,8
Washington,Lind,4 replications,TX91D6991,10,4318,78.7,77,143,75,8
Washington,Lind,4 replications,TX90V6313,11,4624,80.3,79,142,40,3
Washington,Lind,4 replications,TX92V4135,12,4368,80.1,79,142,80,8
Washington,Lind,4 replications,HBE0726-1,13,5097,78.6,79,144,25,3
Washington,Lind,4 replications,TX92V3108,14,3783,82.5,84,142,40,5
Washington,Lind,4 replications,HBI0531-A2,15,4480,78.7,80,143,90,8
Washington,Lind,4 replications,TX93V5919,16,4867,80.3,84,143,90,8
Washington,Lind,4 replications,TX93V5922,17,5127,82.2,88,142,60,3
Washington,Lind,4 replications,TX93V4927,18,4241,81.7,77,141,0,.
Washington,Lind,4 replications,TX92V2519,19,4374,80.2,77,142,0,.
Washington,Lind,4 replications,CO890323,20,5391,80.5,88,143,20,8
Washington,Lind,4 replications,CO900166,21,4714,79.8,81,142,0,.
Washington,Lind,4 replications,KS92PO263-137,22,4783,79.7,83,144,90,8
Washington,Lind,4 replications,KS93U206,23,4494,76.7,88,141,90,8
Washington,Lind,4 replications,KS91H153-2,24,4724,80.1,84,142,60,8
Washington,Lind,4 replications,N93L058,25,4806,78.5,84,110,90,8
Washington,Lind,4 replications,NE91651,26,4944,78.3,90,142,60,8
Washington,Lind,4 replications,NE90476,27,3592,78.8,86,142,50,8
Washington,Lind,4 replications,NE92458,28,3942,80.8,81,142,50,8
Washington,Lind,4 replications,NE92614,29,5234,79.8,93,142,0,.
Washington,Lind,4 replications,NE92646,30,4762,79.6,83,144,80,8
Washington,Lind,4 replications,XH1706,31,5967,79.5,88,142,60,8
Washington,Lind,4 replications,XH1752,32,5413,79.5,94,142,70,8
Washington,Lind,4 replications,XH1778,33,5421,80.3,85,141,80,8
Washington,Lind,4 replications,XH1798,34,5891,80.2,90,142,75,8
Washington,Lind,4 replications,W91-091,35,4556,79.7,79,141,30,8
Washington,Lind,4 replications,W91-287,36,4935,78,79,142,10,8
Washington,Lind,4 replications,AP 7501,37,5704,79.4,85,143,20,8
Washington,Lind,4 replications,WX92-0408,38,5208,79.5,86,143,0,.
Washington,Lind,4 replications,WI89-163W,39,5196,82.8,80,143,0,.
Washington,Lind,4 replications,WI90-540W,40,4270,79.7,84,141,0,.
Washington,Lind,4 replications,W88-2619W,41,5815,81.6,86,142,40,8
Washington,Lind,4 replications,T702,42,5912,78.7,88,142,60,8
Washington,Lind,4 replications,T834,43,4274,79.2,87,142,40,3
Washington,Lind,4 replications,T812,44,4318,78.3,78,140,10,3
Washington,Lind,4 replications,T861,45,4259,78.1,81,140,80,8
