state,city,reps,line,entry,yield (kg/ha)
New Mexico,Farmington,4 replications,CI1442,1,
New Mexico,Farmington,4 replications,CI13996,2,
New Mexico,Farmington,4 replications,PI495594,3,
New Mexico,Farmington,4 replications,HBZ374C,4,
New Mexico,Farmington,4 replications,OK91P648,5,
New Mexico,Farmington,4 replications,OK93P735,6,
New Mexico,Farmington,4 replications,OK93P656,7,
New Mexico,Farmington,4 replications,OK93P727,8,
New Mexico,Farmington,4 replications,TX91D6913,9,
New Mexico,Farmington,4 replications,TX91D6991,10,
New Mexico,Farmington,4 replications,TX90V6313,11,
New Mexico,Farmington,4 replications,TX92V4135,12,
New Mexico,Farmington,4 replications,HBE0726-1,13,
New Mexico,Farmington,4 replications,TX92V3108,14,
New Mexico,Farmington,4 replications,HBI0531-A2,15,
New Mexico,Farmington,4 replications,TX93V5919,16,
New Mexico,Farmington,4 replications,TX93V5922,17,
New Mexico,Farmington,4 replications,TX93V4927,18,
New Mexico,Farmington,4 replications,TX92V2519,19,
New Mexico,Farmington,4 replications,CO890323,20,
New Mexico,Farmington,4 replications,CO900166,21,
New Mexico,Farmington,4 replications,KS92PO263-137,22,
New Mexico,Farmington,4 replications,KS93U206,23,
New Mexico,Farmington,4 replications,KS91H153-2,24,
New Mexico,Farmington,4 replications,N93L058,25,
New Mexico,Farmington,4 replications,NE91651,26,
New Mexico,Farmington,4 replications,NE90476,27,
New Mexico,Farmington,4 replications,NE92458,28,
New Mexico,Farmington,4 replications,NE92614,29,
New Mexico,Farmington,4 replications,NE92646,30,
New Mexico,Farmington,4 replications,XH1706,31,
New Mexico,Farmington,4 replications,XH1752,32,
New Mexico,Farmington,4 replications,XH1778,33,
New Mexico,Farmington,4 replications,XH1798,34,
New Mexico,Farmington,4 replications,W91-091,35,
New Mexico,Farmington,4 replications,W91-287,36,
New Mexico,Farmington,4 replications,AP 7501,37,
New Mexico,Farmington,4 replications,WX92-0408,38,
New Mexico,Farmington,4 replications,WI89-163W,39,
New Mexico,Farmington,4 replications,WI90-540W,40,
New Mexico,Farmington,4 replications,W88-2619W,41,
New Mexico,Farmington,4 replications,T702,42,
New Mexico,Farmington,4 replications,T834,43,
New Mexico,Farmington,4 replications,T812,44,
New Mexico,Farmington,4 replications,T861,45,
