state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,winter survival (%),rust complex (0-5)
Montana,Bozeman,1 replication,CI1442,1,5017,78.4,119,174,95,1
Montana,Bozeman,1 replication,CI13996,2,5844,79.7,122,167,95,2
Montana,Bozeman,1 replication,PI495594,3,6005,79.6,84,166,85,4
Montana,Bozeman,1 replication,HBZ374C,4,7223,81.5,91,171,90,3
Montana,Bozeman,1 replication,OK91P648,5,9254,79.5,84,168,95,2
Montana,Bozeman,1 replication,OK93P735,6,6846,81.1,84,169,95,4
Montana,Bozeman,1 replication,OK93P656,7,7236,81.5,89,167,90,2
Montana,Bozeman,1 replication,OK93P727,8,7216,81.7,84,168,90,2
Montana,Bozeman,1 replication,TX91D6913,9,7579,79.6,89,171,90,2
Montana,Bozeman,1 replication,TX91D6991,10,9644,79.2,86,170,85,2
Montana,Bozeman,1 replication,TX90V6313,11,7949,81.3,79,167,85,1
Montana,Bozeman,1 replication,TX92V4135,12,7814,80.5,84,166,95,2
Montana,Bozeman,1 replication,HBE0726-1,13,10047,79.2,89,174,95,0
Montana,Bozeman,1 replication,TX92V3108,14,8205,81.1,89,171,100,0
Montana,Bozeman,1 replication,HBI0531-A2,15,7256,81.1,89,171,85,1
Montana,Bozeman,1 replication,TX93V5919,16,7929,79.1,91,172,75,2
Montana,Bozeman,1 replication,TX93V5922,17,8561,82.6,86,170,50,2
Montana,Bozeman,1 replication,TX93V4927,18,7855,81.9,81,171,70,0
Montana,Bozeman,1 replication,TX92V2519,19,8467,81.5,84,170,85,0
Montana,Bozeman,1 replication,CO890323,20,8568,82.9,99,171,90,2
Montana,Bozeman,1 replication,CO900166,21,8070,82,94,170,95,1
Montana,Bozeman,1 replication,KS92PO263-137,22,8077,80.9,97,168,100,2
Montana,Bozeman,1 replication,KS93U206,23,7162,80.9,91,165,90,3
Montana,Bozeman,1 replication,KS91H153-2,24,6227,81.3,86,165,95,2
Montana,Bozeman,1 replication,N93L058,25,7593,79.1,84,165,100,3
Montana,Bozeman,1 replication,NE91651,26,8574,79.7,94,165,95,1
Montana,Bozeman,1 replication,NE90476,27,6416,79.7,86,165,95,2
Montana,Bozeman,1 replication,NE92458,28,7034,81.3,97,168,95,1
Montana,Bozeman,1 replication,NE92614,29,8426,81.7,104,169,100,1
Montana,Bozeman,1 replication,NE92646,30,8110,80.6,94,167,100,2
Montana,Bozeman,1 replication,XH1706,31,8339,81.8,89,166,95,1
Montana,Bozeman,1 replication,XH1752,32,8346,80.8,94,166,95,1
Montana,Bozeman,1 replication,XH1778,33,8998,81.5,81,166,90,2
Montana,Bozeman,1 replication,XH1798,34,9193,81.9,89,165,95,2
Montana,Bozeman,1 replication,W91-091,35,7559,81.5,74,164,90,1
Montana,Bozeman,1 replication,W91-287,36,6658,80.2,81,165,100,0
Montana,Bozeman,1 replication,AP 7501,37,9771,81.3,89,166,95,0
Montana,Bozeman,1 replication,WX92-0408,38,9294,80.9,86,167,100,0
Montana,Bozeman,1 replication,WI89-163W,39,8655,82.7,79,166,100,2
Montana,Bozeman,1 replication,WI90-540W,40,6611,79.6,84,165,95,1
Montana,Bozeman,1 replication,W88-2619W,41,9812,82.6,84,167,95,2
Montana,Bozeman,1 replication,T702,42,10229,81.1,86,168,90,3
Montana,Bozeman,1 replication,T834,43,7270,79.5,94,166,95,2
Montana,Bozeman,1 replication,T812,44,7048,80.5,86,165,95,1
Montana,Bozeman,1 replication,T861,45,10276,79.7,94,164,100,4
