state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),lodging (%),mildew (0-9),leaf rust (0-9)
Iowa,Crawfordsville,1 replication,CI1442,1,1130,.,80,5,7
Iowa,Crawfordsville,1 replication,CI13996,2,2556,73.4,65,6,9
Iowa,Crawfordsville,1 replication,PI495594,3,2455,60.9,5,1,10
Iowa,Crawfordsville,1 replication,HBZ374C,4,4499,71.2,0,3,2
Iowa,Crawfordsville,1 replication,OK91P648,5,4405,65.5,5,6,1
Iowa,Crawfordsville,1 replication,OK93P735,6,4243,68.9,5,10,1
Iowa,Crawfordsville,1 replication,OK93P656,7,3188,68.8,5,10,4
Iowa,Crawfordsville,1 replication,OK93P727,8,3430,71.2,0,8,4
Iowa,Crawfordsville,1 replication,TX91D6913,9,4170,68.8,10,7,1
Iowa,Crawfordsville,1 replication,TX91D6991,10,4048,67.5,5,4,6
Iowa,Crawfordsville,1 replication,TX90V6313,11,2710,63.6,0,5,6
Iowa,Crawfordsville,1 replication,TX92V4135,12,3443,70.3,5,6,8
Iowa,Crawfordsville,1 replication,HBE0726-1,13,4566,70.7,5,9,1
Iowa,Crawfordsville,1 replication,TX92V3108,14,4156,70.8,15,2,7
Iowa,Crawfordsville,1 replication,HBI0531-A2,15,4674,68,0,7,5
Iowa,Crawfordsville,1 replication,TX93V5919,16,2085,63.1,5,10,8
Iowa,Crawfordsville,1 replication,TX93V5922,17,2925,66,10,6,2
Iowa,Crawfordsville,1 replication,TX93V4927,18,3638,66.8,0,1,2
Iowa,Crawfordsville,1 replication,TX92V2519,19,3611,69.8,15,1,5
Iowa,Crawfordsville,1 replication,CO890323,20,2878,68.8,55,1,8
Iowa,Crawfordsville,1 replication,CO900166,21,4203,71.2,5,1,5
Iowa,Crawfordsville,1 replication,KS92PO263-137,22,4243,71.2,5,4,2
Iowa,Crawfordsville,1 replication,KS93U206,23,4217,68.9,10,1,3
Iowa,Crawfordsville,1 replication,KS91H153-2,24,2260,66,0,7,1
Iowa,Crawfordsville,1 replication,N93L058,25,3120,65.1,5,9,7
Iowa,Crawfordsville,1 replication,NE91651,26,3490,66.6,10,9,6
Iowa,Crawfordsville,1 replication,NE90476,27,4311,67.7,45,5,2
Iowa,Crawfordsville,1 replication,NE92458,28,3154,68.4,30,4,7
Iowa,Crawfordsville,1 replication,NE92614,29,3605,71.1,15,9,4
Iowa,Crawfordsville,1 replication,NE92646,30,2616,68,35,8,9
Iowa,Crawfordsville,1 replication,XH1706,31,3531,66.2,10,6,5
Iowa,Crawfordsville,1 replication,XH1752,32,4358,72.5,15,7,3
Iowa,Crawfordsville,1 replication,XH1778,33,3679,64.6,5,8,4
Iowa,Crawfordsville,1 replication,XH1798,34,4465,66.6,0,10,3
Iowa,Crawfordsville,1 replication,W91-091,35,3107,65.4,5,3,2
Iowa,Crawfordsville,1 replication,W91-287,36,2495,63.6,0,5,3
Iowa,Crawfordsville,1 replication,AP 7501,37,4869,71.7,5,10,2
Iowa,Crawfordsville,1 replication,WX92-0408,38,5723,73.1,10,7,5
Iowa,Crawfordsville,1 replication,WI89-163W,39,2670,69.4,0,10,3
Iowa,Crawfordsville,1 replication,WI90-540W,40,1143,57.1,0,1,3
Iowa,Crawfordsville,1 replication,W88-2619W,41,2253,.,10,10,9
Iowa,Crawfordsville,1 replication,T702,42,2818,.,15,1,7
Iowa,Crawfordsville,1 replication,T834,43,3732,.,45,1,10
Iowa,Crawfordsville,1 replication,T812,44,3517,.,0,1,4
Iowa,Crawfordsville,1 replication,T861,45,3463,.,5,4,7
