state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,days to flower from 1/1
Texas,Bushland (Irr.),3 replications,CI1442,1,3389,78,112,131,132
Texas,Bushland (Irr.),3 replications,CI13996,2,5073,79.1,87,124,125
Texas,Bushland (Irr.),3 replications,PI495594,3,5026,79.6,66,118,119
Texas,Bushland (Irr.),3 replications,HBZ374C,4,5602,80.2,69,125,126
Texas,Bushland (Irr.),3 replications,OK91P648,5,6075,78.4,62,122,124
Texas,Bushland (Irr.),3 replications,OK93P735,6,5723,80.5,66,126,126
Texas,Bushland (Irr.),3 replications,OK93P656,7,5849,79.3,71,120,122
Texas,Bushland (Irr.),3 replications,OK93P727,8,5225,80.4,75,123,124
Texas,Bushland (Irr.),3 replications,TX91D6913,9,5853,77.3,79,126,129
Texas,Bushland (Irr.),3 replications,TX91D6991,10,5739,77.9,68,123,122
Texas,Bushland (Irr.),3 replications,TX90V6313,11,5597,79.9,67,120,121
Texas,Bushland (Irr.),3 replications,TX92V4135,12,5752,79.3,73,121,122
Texas,Bushland (Irr.),3 replications,HBE0726-1,13,6602,78.3,71,125,125
Texas,Bushland (Irr.),3 replications,TX92V3108,14,5808,81.5,73,120,122
Texas,Bushland (Irr.),3 replications,HBI0531-A2,15,6330,80,68,122,122
Texas,Bushland (Irr.),3 replications,TX93V5919,16,5510,81.8,76,125,125
Texas,Bushland (Irr.),3 replications,TX93V5922,17,5725,80.2,74,123,125
Texas,Bushland (Irr.),3 replications,TX93V4927,18,5539,80.8,70,118,119
Texas,Bushland (Irr.),3 replications,TX92V2519,19,5503,80.4,66,119,121
Texas,Bushland (Irr.),3 replications,CO890323,20,5936,82,71,118,118
Texas,Bushland (Irr.),3 replications,CO900166,21,5580,79.9,70,122,122
Texas,Bushland (Irr.),3 replications,KS92PO263-137,22,5696,79.5,76,124,126
Texas,Bushland (Irr.),3 replications,KS93U206,23,5754,78.3,70,117,118
Texas,Bushland (Irr.),3 replications,KS91H153-2,24,5790,80.1,74,124,126
Texas,Bushland (Irr.),3 replications,N93L058,25,5418,77.7,69,121,122
Texas,Bushland (Irr.),3 replications,NE91651,26,5243,76.8,73,121,122
Texas,Bushland (Irr.),3 replications,NE90476,27,5564,78,74,124,125
Texas,Bushland (Irr.),3 replications,NE92458,28,5508,78.3,73,123,125
Texas,Bushland (Irr.),3 replications,NE92614,29,4867,80,81,125,126
Texas,Bushland (Irr.),3 replications,NE92646,30,5454,77.4,78,126,128
Texas,Bushland (Irr.),3 replications,XH1706,31,6622,79.9,79,121,123
Texas,Bushland (Irr.),3 replications,XH1752,32,5855,80.2,76,124,125
Texas,Bushland (Irr.),3 replications,XH1778,33,6194,79.1,71,122,122
Texas,Bushland (Irr.),3 replications,XH1798,34,6191,80.1,73,120,119
Texas,Bushland (Irr.),3 replications,W91-091,35,5667,79.3,71,121,122
Texas,Bushland (Irr.),3 replications,W91-287,36,5660,79.5,72,120,122
Texas,Bushland (Irr.),3 replications,AP 7501,37,5714,80.5,75,124,126
Texas,Bushland (Irr.),3 replications,WX92-0408,38,5768,80.4,70,123,123
Texas,Bushland (Irr.),3 replications,WI89-163W,39,6517,81.3,71,126,129
Texas,Bushland (Irr.),3 replications,WI90-540W,40,4855,77.9,66,119,122
Texas,Bushland (Irr.),3 replications,W88-2619W,41,5449,81,71,124,126
Texas,Bushland (Irr.),3 replications,T702,42,5985,81.4,71,122,125
Texas,Bushland (Irr.),3 replications,T834,43,6218,80,78,124,125
Texas,Bushland (Irr.),3 replications,T812,44,5750,81,71,118,121
Texas,Bushland (Irr.),3 replications,T861,45,4820,78.8,71,119,121
