state,city,reps,line,entry,plant height (cm),days to heading from 1/1,leaf sev. (%),rust resp (0-9),shatter (%)
Texas,Chillicothe,3 replications,CI1442,1,101,110,50,8,30
Texas,Chillicothe,3 replications,CI13996,2,90,108,50,8,30
Texas,Chillicothe,3 replications,PI495594,3,65,98,90,8,40
Texas,Chillicothe,3 replications,HBZ374C,4,76,106,60,8,30
Texas,Chillicothe,3 replications,OK91P648,5,74,102,20,7,70
Texas,Chillicothe,3 replications,OK93P735,6,67,106,5,3,40
Texas,Chillicothe,3 replications,OK93P656,7,65,100,30,8,40
Texas,Chillicothe,3 replications,OK93P727,8,70,104,30,8,50
Texas,Chillicothe,3 replications,TX91D6913,9,77,106,5,7,30
Texas,Chillicothe,3 replications,TX91D6991,10,73,104,10,8,60
Texas,Chillicothe,3 replications,TX90V6313,11,66,102,40,8,60
Texas,Chillicothe,3 replications,TX92V4135,12,70,99,40,8,60
Texas,Chillicothe,3 replications,HBE0726-1,13,71,105,10,3,30
Texas,Chillicothe,3 replications,TX92V3108,14,70,99,60,8,40
Texas,Chillicothe,3 replications,HBI0531-A2,15,70,99,20,7,40
Texas,Chillicothe,3 replications,TX93V5919,16,75,100,60,8,50
Texas,Chillicothe,3 replications,TX93V5922,17,78,98,30,8,60
Texas,Chillicothe,3 replications,TX93V4927,18,68,107,30,8,70
Texas,Chillicothe,3 replications,TX92V2519,19,65,107,50,8,50
Texas,Chillicothe,3 replications,CO890323,20,71,98,70,8,80
Texas,Chillicothe,3 replications,CO900166,21,69,104,50,8,70
Texas,Chillicothe,3 replications,KS92PO263-137,22,78,105,5,7,80
Texas,Chillicothe,3 replications,KS93U206,23,71,98,.,.,50
Texas,Chillicothe,3 replications,KS91H153-2,24,78,107,5,3,40
Texas,Chillicothe,3 replications,N93L058,25,72,107,40,8,70
Texas,Chillicothe,3 replications,NE91651,26,73,100,30,8,70
Texas,Chillicothe,3 replications,NE90476,27,76,107,303,8,60
Texas,Chillicothe,3 replications,NE92458,28,76,102,80,8,80
Texas,Chillicothe,3 replications,NE92614,29,82,107,40,8,70
Texas,Chillicothe,3 replications,NE92646,30,82,107,60,8,30
Texas,Chillicothe,3 replications,XH1706,31,76,100,40,8,40
Texas,Chillicothe,3 replications,XH1752,32,78,104,40,8,30
Texas,Chillicothe,3 replications,XH1778,33,64,100,.,.,30
Texas,Chillicothe,3 replications,XH1798,34,72,98,20,8,30
Texas,Chillicothe,3 replications,W91-091,35,65,100,30,7,70
Texas,Chillicothe,3 replications,W91-287,36,67,100,30,8,70
Texas,Chillicothe,3 replications,AP 7501,37,73,100,30,7,80
Texas,Chillicothe,3 replications,WX92-0408,38,69,100,30,7,90
Texas,Chillicothe,3 replications,WI89-163W,39,71,107,5,3,30
Texas,Chillicothe,3 replications,WI90-540W,40,66,98,20,8,60
Texas,Chillicothe,3 replications,W88-2619W,41,67,100,70,8,60
Texas,Chillicothe,3 replications,T702,42,67,100,70,8,60
Texas,Chillicothe,3 replications,T834,43,79,107,40,8,40
Texas,Chillicothe,3 replications,T812,44,71,98,60,8,40
Texas,Chillicothe,3 replications,T861,45,74,99,70,8,90
