state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),days to heading from 1/1,leaf sev. (%),rust resp (0-9),septoria (0-9)
Texas,Prosper,3 replications,CI1442,1,1226,72.5,116,80,8,6.7
Texas,Prosper,3 replications,CI13996,2,2443,73.5,114,70,8,6.3
Texas,Prosper,3 replications,PI495594,3,3282,72.5,97,80,8,5
Texas,Prosper,3 replications,HBZ374C,4,3616,75.9,104,10,8,3.3
Texas,Prosper,3 replications,OK91P648,5,4504,72.5,97,0,.,3
Texas,Prosper,3 replications,OK93P735,6,3679,74.3,104,1,8,6.3
Texas,Prosper,3 replications,OK93P656,7,3450,75.2,96,1,8,6.3
Texas,Prosper,3 replications,OK93P727,8,3562,75.3,103,5,8,3
Texas,Prosper,3 replications,TX91D6913,9,4084,70.3,105,0,.,5
Texas,Prosper,3 replications,TX91D6991,10,3537,71.1,103,30,8,6.3
Texas,Prosper,3 replications,TX90V6313,11,3833,74.3,96,50,8,4.3
Texas,Prosper,3 replications,TX92V4135,12,3369,75.2,94,0,.,3
Texas,Prosper,3 replications,HBE0726-1,13,3723,72.6,108,1,2,3
Texas,Prosper,3 replications,TX92V3108,14,3125,77.3,101,40,8,5.5
Texas,Prosper,3 replications,HBI0531-A2,15,3858,73.8,105,40,8,5.5
Texas,Prosper,3 replications,TX93V5919,16,3091,72.9,103,70,8,6.3
Texas,Prosper,3 replications,TX93V5922,17,3228,75.5,97,20,8,5
Texas,Prosper,3 replications,TX93V4927,18,3762,73.7,110,1,7,5
Texas,Prosper,3 replications,TX92V2519,19,2869,69.1,111,0,.,6
Texas,Prosper,3 replications,CO890323,20,3271,76.6,102,60,8,4.3
Texas,Prosper,3 replications,CO900166,21,2571,72.2,104,90,8,5.7
Texas,Prosper,3 replications,KS92PO263-137,22,3894,74.2,108,30,8,3.7
Texas,Prosper,3 replications,KS93U206,23,3732,74.4,100,0,.,5
Texas,Prosper,3 replications,KS91H153-2,24,3475,74.4,109,50,8,4
Texas,Prosper,3 replications,N93L058,25,3078,68.8,110,80,8,4.3
Texas,Prosper,3 replications,NE91651,26,3584,73.8,96,40,8,4
Texas,Prosper,3 replications,NE90476,27,3304,71,112,70,8,4.3
Texas,Prosper,3 replications,NE92458,28,3430,76.6,101,90,8,3.7
Texas,Prosper,3 replications,NE92614,29,2961,72.8,108,30,8,6.7
Texas,Prosper,3 replications,NE92646,30,2116,66.4,118,100,8,6
Texas,Prosper,3 replications,XH1706,31,3208,72.9,101,1,8,5.5
Texas,Prosper,3 replications,XH1752,32,3728,74,105,20,8,5.5
Texas,Prosper,3 replications,XH1778,33,3804,73.9,105,0,.,6.3
Texas,Prosper,3 replications,XH1798,34,4143,75.1,102,5,8,4.7
Texas,Prosper,3 replications,W91-091,35,3309,72.1,104,30,8,4
Texas,Prosper,3 replications,W91-287,36,3531,74,102,40,8,4.7
Texas,Prosper,3 replications,AP 7501,37,2883,68.8,111,20,7,6
Texas,Prosper,3 replications,WX92-0408,38,3800,72.2,105,40,8,5.7
Texas,Prosper,3 replications,WI89-163W,39,2681,68,114,0,.,7.5
Texas,Prosper,3 replications,WI90-540W,40,2955,71.5,101,0,.,4
Texas,Prosper,3 replications,W88-2619W,41,2688,68.1,96,80,8,4
Texas,Prosper,3 replications,T702,42,2977,73.5,103,70,8,7
Texas,Prosper,3 replications,T834,43,2831,68.1,112,70,8,5.5
Texas,Prosper,3 replications,T812,44,3719,73.8,102,50,8,5.7
Texas,Prosper,3 replications,T861,45,3643,73.5,104,0,.,5
