state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,leaf rust (0-9)
Oklahoma,Stillwater,3 replications,CI1442,1,421,.,78,133,4
Oklahoma,Stillwater,3 replications,CI13996,2,898,69,80,124,2
Oklahoma,Stillwater,3 replications,PI495594,3,888,62.2,62,110,7.7
Oklahoma,Stillwater,3 replications,HBZ374C,4,2631,71.5,77,111,1.3
Oklahoma,Stillwater,3 replications,OK91P648,5,3110,69.8,67,107,1.3
Oklahoma,Stillwater,3 replications,OK93P735,6,2995,75.3,72,112,1.3
Oklahoma,Stillwater,3 replications,OK93P656,7,2304,72,65,107,4
Oklahoma,Stillwater,3 replications,OK93P727,8,2564,72.7,73,108,6.7
Oklahoma,Stillwater,3 replications,TX91D6913,9,3364,71.2,80,112,1
Oklahoma,Stillwater,3 replications,TX91D6991,10,2364,66.7,70,111,3
Oklahoma,Stillwater,3 replications,TX90V6313,11,1684,68.3,62,109,5.7
Oklahoma,Stillwater,3 replications,TX92V4135,12,2147,70.5,70,107,7
Oklahoma,Stillwater,3 replications,HBE0726-1,13,1992,65.8,65,114,1.3
Oklahoma,Stillwater,3 replications,TX92V3108,14,1196,71.1,63,110,5.3
Oklahoma,Stillwater,3 replications,HBI0531-A2,15,1881,68.9,63,110,2.3
Oklahoma,Stillwater,3 replications,TX93V5919,16,1881,68.8,72,109,5
Oklahoma,Stillwater,3 replications,TX93V5922,17,1542,69.1,67,109,3
Oklahoma,Stillwater,3 replications,TX93V4927,18,1603,64.4,62,118,2.3
Oklahoma,Stillwater,3 replications,TX92V2519,19,1271,65.2,65,118,1.7
Oklahoma,Stillwater,3 replications,CO890323,20,1013,66.1,67,110,6
Oklahoma,Stillwater,3 replications,CO900166,21,1356,66.5,73,112,6.7
Oklahoma,Stillwater,3 replications,KS92PO263-137,22,3098,74.3,80,112,2
Oklahoma,Stillwater,3 replications,KS93U206,23,2116,71,72,108,1
Oklahoma,Stillwater,3 replications,KS91H153-2,24,2109,73.3,82,119,1
Oklahoma,Stillwater,3 replications,N93L058,25,1876,65.1,75,118,2
Oklahoma,Stillwater,3 replications,NE91651,26,1885,67.7,70,110,6
Oklahoma,Stillwater,3 replications,NE90476,27,1501,63.7,72,120,1
Oklahoma,Stillwater,3 replications,NE92458,28,1820,72.1,78,110,6.3
Oklahoma,Stillwater,3 replications,NE92614,29,1315,69.8,73,119,3
Oklahoma,Stillwater,3 replications,NE92646,30,1467,62.7,73,120,2.7
Oklahoma,Stillwater,3 replications,XH1706,31,2125,68.7,80,110,4.7
Oklahoma,Stillwater,3 replications,XH1752,32,2247,68.3,73,110,3.7
Oklahoma,Stillwater,3 replications,XH1778,33,2028,71.3,67,109,1.3
Oklahoma,Stillwater,3 replications,XH1798,34,3045,73.9,75,108,4
Oklahoma,Stillwater,3 replications,W91-091,35,1573,65.6,65,108,5.7
Oklahoma,Stillwater,3 replications,W91-287,36,1930,71.8,68,108,2.3
Oklahoma,Stillwater,3 replications,AP 7501,37,1928,65.6,73,112,1.3
Oklahoma,Stillwater,3 replications,WX92-0408,38,2353,69,75,111,2.7
Oklahoma,Stillwater,3 replications,WI89-163W,39,1567,69.8,75,118,1.3
Oklahoma,Stillwater,3 replications,WI90-540W,40,1965,66.1,67,106,4.3
Oklahoma,Stillwater,3 replications,W88-2619W,41,1566,68,63,110,7.3
Oklahoma,Stillwater,3 replications,T702,42,1517,69.6,67,109,1.7
Oklahoma,Stillwater,3 replications,T834,43,1849,65,75,118,3.3
Oklahoma,Stillwater,3 replications,T812,44,1372,61.9,68,108,6
Oklahoma,Stillwater,3 replications,T861,45,1419,66.1,73,108,4
