state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),leaf rust (0-9)
Oklahoma,Altus,3 replications,CI1442,1,1421,74.9,7.3
Oklahoma,Altus,3 replications,CI13996,2,2267,74.4,6.3
Oklahoma,Altus,3 replications,PI495594,3,2369,73.2,8
Oklahoma,Altus,3 replications,HBZ374C,4,3184,76.9,2
Oklahoma,Altus,3 replications,OK91P648,5,3553,75.1,1
Oklahoma,Altus,3 replications,OK93P735,6,3956,76.3,1
Oklahoma,Altus,3 replications,OK93P656,7,3001,76.4,2.3
Oklahoma,Altus,3 replications,OK93P727,8,3337,77.3,2
Oklahoma,Altus,3 replications,TX91D6913,9,3436,74.9,1.7
Oklahoma,Altus,3 replications,TX91D6991,10,2952,73.8,2.7
Oklahoma,Altus,3 replications,TX90V6313,11,3444,73.1,2.3
Oklahoma,Altus,3 replications,TX92V4135,12,3111,76.5,1.3
Oklahoma,Altus,3 replications,HBE0726-1,13,4187,74.4,1
Oklahoma,Altus,3 replications,TX92V3108,14,3302,78.4,5
Oklahoma,Altus,3 replications,HBI0531-A2,15,4152,76.7,3.7
Oklahoma,Altus,3 replications,TX93V5919,16,3259,76.1,5.7
Oklahoma,Altus,3 replications,TX93V5922,17,3664,79.1,2.3
Oklahoma,Altus,3 replications,TX93V4927,18,3662,76.9,2
Oklahoma,Altus,3 replications,TX92V2519,19,3222,75.6,2.7
Oklahoma,Altus,3 replications,CO890323,20,2830,77.7,5.7
Oklahoma,Altus,3 replications,CO900166,21,2624,75.9,7.7
Oklahoma,Altus,3 replications,KS92PO263-137,22,2883,76.8,2
Oklahoma,Altus,3 replications,KS93U206,23,3858,76.9,1
Oklahoma,Altus,3 replications,KS91H153-2,24,3743,77.7,1.3
Oklahoma,Altus,3 replications,N93L058,25,3273,74.7,3.3
Oklahoma,Altus,3 replications,NE91651,26,2980,74.3,3
Oklahoma,Altus,3 replications,NE90476,27,3070,72.2,5.7
Oklahoma,Altus,3 replications,NE92458,28,1904,76.8,6.7
Oklahoma,Altus,3 replications,NE92614,29,2902,75.4,5
Oklahoma,Altus,3 replications,NE92646,30,2975,68.7,6.7
Oklahoma,Altus,3 replications,XH1706,31,3790,77.1,1.7
Oklahoma,Altus,3 replications,XH1752,32,3701,74.7,2.3
Oklahoma,Altus,3 replications,XH1778,33,4443,76.6,1
Oklahoma,Altus,3 replications,XH1798,34,3890,77.1,2
Oklahoma,Altus,3 replications,W91-091,35,3207,76.8,2
Oklahoma,Altus,3 replications,W91-287,36,3395,74.8,2
Oklahoma,Altus,3 replications,AP 7501,37,3792,76.3,1.7
Oklahoma,Altus,3 replications,WX92-0408,38,2941,76.9,2.3
Oklahoma,Altus,3 replications,WI89-163W,39,3395,74.8,2
Oklahoma,Altus,3 replications,WI90-540W,40,2963,70.1,1.3
Oklahoma,Altus,3 replications,W88-2619W,41,2920,73.4,5.7
Oklahoma,Altus,3 replications,T702,42,3490,77.6,2.3
Oklahoma,Altus,3 replications,T834,43,3096,71.6,4.3
Oklahoma,Altus,3 replications,T812,44,3205,74.3,2.7
Oklahoma,Altus,3 replications,T861,45,2137,73.7,4.3
