state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,winter survival (%),winter injury (0-9)
Kansas,Hays,3 replications,CI1442,1,3185,77,96,151,100,2.7
Kansas,Hays,3 replications,CI13996,2,3270,79.3,79,142,88,2.3
Kansas,Hays,3 replications,PI495594,3,3040,79.3,58,136,100,2
Kansas,Hays,3 replications,KS93U206,4,3093,79.7,58,137,93,2.7
Kansas,Hays,3 replications,OK91P648,5,1847,77.1,48,141,40,5
Kansas,Hays,3 replications,OK93P735,6,2266,80.4,54,140,87,3
Kansas,Hays,3 replications,OK93P634,7,1818,78.5,53,141,70,4
Kansas,Hays,3 replications,OK92403,8,2367,80.5,53,136,93,3
Kansas,Hays,3 replications,TX91D6913,9,2623,75.8,57,144,80,4.7
Kansas,Hays,3 replications,TX91D6991,10,2226,78,48,140,77,3.3
Kansas,Hays,3 replications,TX92V3108,11,2274,81.9,55,140,93,3.3
Kansas,Hays,3 replications,HBI0531-A2,12,2443,75.7,52,144,70,4.3
Kansas,Hays,3 replications,TX93V5919,13,1644,76.4,50,143,37,5
Kansas,Hays,3 replications,TX93V5922,14,985,74.9,53,142,12,5.7
Kansas,Hays,3 replications,TX93V4927,15,1842,71.1,56,149,18,6
Kansas,Hays,3 replications,TX92V2519,16,1467,71.9,52,148,35,4.7
Kansas,Hays,3 replications,TXGH12588-105,17,2060,77.6,54,139,80,3
Kansas,Hays,3 replications,CO910424,18,3018,80.5,60,139,98,2.7
Kansas,Hays,3 replications,CO910748,19,2827,77.5,67,148,62,3.7
Kansas,Hays,3 replications,KS91H153-2,20,2786,80.7,56,140,83,4
Kansas,Hays,3 replications,KS941064-3,21,2668,78.6,52,140,88,4
Kansas,Hays,3 replications,KS941064-6,22,2322,77.9,49,142,83,3.7
Kansas,Hays,3 replications,KS940935-7-2-1,23,2744,80.9,57,138,92,3.7
Kansas,Hays,3 replications,KS940935-125-5-2,24,2546,78.9,56,140,88,4
Kansas,Hays,3 replications,KS85W663-11-6-MB,25,2814,78.3,59,144,75,5
Kansas,Hays,3 replications,KS84W063-9-39-3-MB,26,3320,79.7,64,141,97,3.3
Kansas,Hays,3 replications,NE90476,27,3258,77.7,60,139,97,2.3
Kansas,Hays,3 replications,NE92458,28,3201,80.8,61,137,100,2.3
Kansas,Hays,3 replications,NE92646,29,2978,78.9,62,143,88,2.7
Kansas,Hays,3 replications,NE93405,30,2872,79.6,64,137,100,2.3
Kansas,Hays,3 replications,NE93427,31,2412,80.1,56,141,80,3.7
Kansas,Hays,3 replications,WX92-0408,32,3720,79.6,58,139,100,2
Kansas,Hays,3 replications,W93-460,33,2462,73.8,58,144,50,4.7
Kansas,Hays,3 replications,T702,34,2392,77.3,51,143,50,5
Kansas,Hays,3 replications,T834,35,3310,79.5,63,140,98,2.7
Kansas,Hays,3 replications,T812,36,2960,80,57,137,88,3.3
Kansas,Hays,3 replications,T861,37,2711,79,56,137,95,3
Kansas,Hays,3 replications,T89,38,2733,78.4,57,135,97,2.7
Kansas,Hays,3 replications,G1878,39,2738,81.4,59,140,97,4
