state,city,reps,line,entry,winter survival
Kansas,Garden City ,3 replications,CI1442,1,87
Kansas,Garden City ,3 replications,CI13996,2,47
Kansas,Garden City ,3 replications,PI495594,3,83
Kansas,Garden City ,3 replications,KS93U206,4,60
Kansas,Garden City ,3 replications,OK91P648,5,0
Kansas,Garden City ,3 replications,OK93P735,6,37
Kansas,Garden City ,3 replications,OK93P634,7,17
Kansas,Garden City ,3 replications,OK92403,8,27
Kansas,Garden City ,3 replications,TX91D6913,9,17
Kansas,Garden City ,3 replications,TX91D6991,10,37
Kansas,Garden City ,3 replications,TX92V3108,11,63
Kansas,Garden City ,3 replications,HBI0531-A2,12,13
Kansas,Garden City ,3 replications,TX93V5919,13,0
Kansas,Garden City ,3 replications,TX93V5922,14,20
Kansas,Garden City ,3 replications,TX93V4927,15,0
Kansas,Garden City ,3 replications,TX92V2519,16,0
Kansas,Garden City ,3 replications,TXGH12588-105,17,20
Kansas,Garden City ,3 replications,CO910424,18,33
Kansas,Garden City ,3 replications,CO910748,19,7
Kansas,Garden City ,3 replications,KS91H153-2,20,20
Kansas,Garden City ,3 replications,KS941064-3,21,14
Kansas,Garden City ,3 replications,KS941064-6,22,10
Kansas,Garden City ,3 replications,KS940935-7-2-1,23,40
Kansas,Garden City ,3 replications,KS940935-125-5-2,24,3
Kansas,Garden City ,3 replications,KS85W663-11-6-MB,25,0
Kansas,Garden City ,3 replications,KS84W063-9-39-3-MB,26,30
Kansas,Garden City ,3 replications,NE90476,27,70
Kansas,Garden City ,3 replications,NE92458,28,70
Kansas,Garden City ,3 replications,NE92646,29,63
Kansas,Garden City ,3 replications,NE93405,30,63
Kansas,Garden City ,3 replications,NE93427,31,37
Kansas,Garden City ,3 replications,WX92-0408,32,50
Kansas,Garden City ,3 replications,W93-460,33,7
Kansas,Garden City ,3 replications,T702,34,7
Kansas,Garden City ,3 replications,T834,35,50
Kansas,Garden City ,3 replications,T812,36,40
Kansas,Garden City ,3 replications,T861,37,43
Kansas,Garden City ,3 replications,T89,38,37
Kansas,Garden City ,3 replications,G1878,39,43
