state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,winter survival (0-9)
Kansas,Wichita,2 replications,CI1442,1,2468,76,99,138,0
Kansas,Wichita,2 replications,CI13996,2,3296,75.9,96,134,3
Kansas,Wichita,2 replications,PI495594,3,3966,74.1,79,129,4
Kansas,Wichita,2 replications,KS93U206,4,4115,73.2,84,130,4
Kansas,Wichita,2 replications,OK91P648,5,4615,72.2,71,130,5
Kansas,Wichita,2 replications,OK93P735,6,3383,75.4,66,131,5
Kansas,Wichita,2 replications,OK93P634,7,3186,75.4,71,131,9
Kansas,Wichita,2 replications,OK92403,8,3815,76.2,69,131,7
Kansas,Wichita,2 replications,TX91D6913,9,3775,72.3,76,132,3
Kansas,Wichita,2 replications,TX91D6991,10,4156,70.2,71,131,5
Kansas,Wichita,2 replications,TX92V3108,11,4242,77.8,81,128,3
Kansas,Wichita,2 replications,HBI0531-A2,12,4198,73.7,74,132,7
Kansas,Wichita,2 replications,TX93V5919,13,3785,73.3,76,132,9
Kansas,Wichita,2 replications,TX93V5922,14,2917,76.9,66,132,9
Kansas,Wichita,2 replications,TX93V4927,15,2515,75.1,64,133,9
Kansas,Wichita,2 replications,TX92V2519,16,2850,73.8,66,133,9
Kansas,Wichita,2 replications,TXGH12588-105,17,3333,73.5,79,131,9
Kansas,Wichita,2 replications,CO910424,18,4624,73.8,84,131,4
Kansas,Wichita,2 replications,CO910748,19,3820,76.2,86,132,7
Kansas,Wichita,2 replications,KS91H153-2,20,3226,76.2,81,132,5
Kansas,Wichita,2 replications,KS941064-3,21,3724,74.6,76,131,5
Kansas,Wichita,2 replications,KS941064-6,22,4097,73.1,74,131,5
Kansas,Wichita,2 replications,KS940935-7-2-1,23,2788,75,71,131,4
Kansas,Wichita,2 replications,KS940935-125-5-2,24,4426,73.6,76,130,3
Kansas,Wichita,2 replications,KS85W663-11-6-MB,25,3318,75.1,71,132,8
Kansas,Wichita,2 replications,KS84W063-9-39-3-MB,26,3945,76,76,132,5
Kansas,Wichita,2 replications,NE90476,27,4560,72.8,84,132,0
Kansas,Wichita,2 replications,NE92458,28,3656,74.1,84,131,0
Kansas,Wichita,2 replications,NE92646,29,3719,75.6,79,134,3
Kansas,Wichita,2 replications,NE93405,30,3750,75.4,86,131,0
Kansas,Wichita,2 replications,NE93427,31,4108,76,76,131,5
Kansas,Wichita,2 replications,WX92-0408,32,4398,72.8,76,131,3
Kansas,Wichita,2 replications,W93-460,33,3336,72.3,84,132,5
Kansas,Wichita,2 replications,T702,34,3540,74,71,131,6
Kansas,Wichita,2 replications,T834,35,3964,73.1,86,132,3
Kansas,Wichita,2 replications,T812,36,4280,72.7,81,129,3
Kansas,Wichita,2 replications,T861,37,3878,72.8,84,129,5
Kansas,Wichita,2 replications,T89,38,3962,71.8,76,129,4
Kansas,Wichita,2 replications,G1878,39,3913,77.2,84,132,3
