state,city,reps,line,entry,yield (kg/ha),days to heading from 1/1,winter survival (0-5)
Kansas,Winfield,3 replications,CI1442,1,3066,134,1
Kansas,Winfield,3 replications,CI13996,2,2980,130,2
Kansas,Winfield,3 replications,PI495594,3,3231,122,2
Kansas,Winfield,3 replications,KS93U206,4,2798,123,3
Kansas,Winfield,3 replications,OK91P648,5,2323,128,4
Kansas,Winfield,3 replications,OK93P735,6,2999,127,1
Kansas,Winfield,3 replications,OK93P634,7,2318,128,4
Kansas,Winfield,3 replications,OK92403,8,2345,124,3
Kansas,Winfield,3 replications,TX91D6913,9,3443,128,1
Kansas,Winfield,3 replications,TX91D6991,10,2572,127,2
Kansas,Winfield,3 replications,TX92V3108,11,2579,124,2
Kansas,Winfield,3 replications,HBI0531-A2,12,2756,130,4
Kansas,Winfield,3 replications,TX93V5919,13,2777,128,3
Kansas,Winfield,3 replications,TX93V5922,14,1851,129,5
Kansas,Winfield,3 replications,TX93V4927,15,1939,129,5
Kansas,Winfield,3 replications,TX92V2519,16,1699,130,5
Kansas,Winfield,3 replications,TXGH12588-105,17,3142,123,2
Kansas,Winfield,3 replications,CO910424,18,3036,126,1
Kansas,Winfield,3 replications,CO910748,19,3412,130,3
Kansas,Winfield,3 replications,KS91H153-2,20,2928,128,2
Kansas,Winfield,3 replications,KS941064-3,21,2693,126,3
Kansas,Winfield,3 replications,KS941064-6,22,2862,126,2
Kansas,Winfield,3 replications,KS940935-7-2-1,23,2766,126,2
Kansas,Winfield,3 replications,KS940935-125-5-2,24,2699,126,2
Kansas,Winfield,3 replications,KS85W663-11-6-MB,25,2948,130,2
Kansas,Winfield,3 replications,KS84W063-9-39-3-MB,26,3288,128,1
Kansas,Winfield,3 replications,NE90476,27,3933,129,1
Kansas,Winfield,3 replications,NE92458,28,3004,124,2
Kansas,Winfield,3 replications,NE92646,29,3077,130,1
Kansas,Winfield,3 replications,NE93405,30,2767,125,1
Kansas,Winfield,3 replications,NE93427,31,2963,125,1
Kansas,Winfield,3 replications,WX92-0408,32,3445,127,1
Kansas,Winfield,3 replications,W93-460,33,2770,128,3
Kansas,Winfield,3 replications,T702,34,2910,126,3
Kansas,Winfield,3 replications,T834,35,3261,127,1
Kansas,Winfield,3 replications,T812,36,2912,124,2
Kansas,Winfield,3 replications,T861,37,2633,124,2
Kansas,Winfield,3 replications,T89,38,2506,123,2
Kansas,Winfield,3 replications,G1878,39,2628,126,3
