state,city,reps,line,entry,yield (kg/ha),plant height (cm),days to heading from 1/1,lodging (0-9),winter survival (0-9)
Kansas,Hugoton (Irr.),4 replications,CI1442,1,2330,97,137,5,1
Kansas,Hugoton (Irr.),4 replications,CI13996,2,2866,91,131,7,2
Kansas,Hugoton (Irr.),4 replications,PI495594,3,5731,76,127,2,2
Kansas,Hugoton (Irr.),4 replications,KS93U206,4,5954,61,127,2,1
Kansas,Hugoton (Irr.),4 replications,OK91P648,5,6462,76,175,2,1
Kansas,Hugoton (Irr.),4 replications,OK93P735,6,5915,81,130,2,1
Kansas,Hugoton (Irr.),4 replications,OK93P634,7,5375,79,129,2,2
Kansas,Hugoton (Irr.),4 replications,OK92403,8,5935,76,129,2,1
Kansas,Hugoton (Irr.),4 replications,TX91D6913,9,5633,91,164,1,1
Kansas,Hugoton (Irr.),4 replications,TX91D6991,10,6650,74,130,1,1
Kansas,Hugoton (Irr.),4 replications,TX92V3108,11,6103,86,128,3,1
Kansas,Hugoton (Irr.),4 replications,HBI0531-A2,12,6157,74,129,1,2
Kansas,Hugoton (Irr.),4 replications,TX93V5919,13,6763,79,130,1,2
Kansas,Hugoton (Irr.),4 replications,TX93V5922,14,5024,81,131,1,7
Kansas,Hugoton (Irr.),4 replications,TX93V4927,15,3920,74,136,2,8
Kansas,Hugoton (Irr.),4 replications,TX92V2519,16,5422,71,132,3,5
Kansas,Hugoton (Irr.),4 replications,TXGH12588-105,17,5810,86,129,4,4
Kansas,Hugoton (Irr.),4 replications,CO910424,18,6077,86,130,4,1
Kansas,Hugoton (Irr.),4 replications,CO910748,19,4334,81,132,2,3
Kansas,Hugoton (Irr.),4 replications,KS91H153-2,20,4235,81,130,3,2
Kansas,Hugoton (Irr.),4 replications,KS941064-3,21,6230,81,129,2,1
Kansas,Hugoton (Irr.),4 replications,KS941064-6,22,6530,76,130,1,2
Kansas,Hugoton (Irr.),4 replications,KS940935-7-2-1,23,5182,81,130,2,1
Kansas,Hugoton (Irr.),4 replications,KS940935-125-5-2,24,6406,84,129,2,1
Kansas,Hugoton (Irr.),4 replications,KS85W663-11-6-MB,25,5693,76,132,2,2
Kansas,Hugoton (Irr.),4 replications,KS84W063-9-39-3-MB,26,5784,86,183,2,1
Kansas,Hugoton (Irr.),4 replications,NE90476,27,5917,86,129,3,1
Kansas,Hugoton (Irr.),4 replications,NE92458,28,5914,86,130,2,1
Kansas,Hugoton (Irr.),4 replications,NE92646,29,5585,86,132,2,1
Kansas,Hugoton (Irr.),4 replications,NE93405,30,5814,91,130,1,1
Kansas,Hugoton (Irr.),4 replications,NE93427,31,5993,86,130,2,2
Kansas,Hugoton (Irr.),4 replications,WX92-0408,32,5939,76,130,1,1
Kansas,Hugoton (Irr.),4 replications,W93-460,33,4438,84,132,1,4
Kansas,Hugoton (Irr.),4 replications,T702,34,5855,84,130,2,2
Kansas,Hugoton (Irr.),4 replications,T834,35,4863,81,130,4,1
Kansas,Hugoton (Irr.),4 replications,T812,36,5563,81,127,4,2
Kansas,Hugoton (Irr.),4 replications,T861,37,5640,81,126,2,1
Kansas,Hugoton (Irr.),4 replications,T89,38,5629,81,128,3,1
Kansas,Hugoton (Irr.),4 replications,G1878,39,5369,86,130,2,1
