state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,shatter (%)
Colorado,Fort Collins,3 replications,CI1442,1,2949,74.4,120,156,1
Colorado,Fort Collins,3 replications,CI13996,2,3004,76.4,110,150,1
Colorado,Fort Collins,3 replications,PI495594,3,4803,75.2,80,143,1
Colorado,Fort Collins,3 replications,KS93U206,4,3838,76.1,90,144,5
Colorado,Fort Collins,3 replications,OK91P648,5,4401,72.3,60,144,10
Colorado,Fort Collins,3 replications,OK93P735,6,3852,75.6,80,147,5
Colorado,Fort Collins,3 replications,OK93P634,7,3819,76.1,60,146,10
Colorado,Fort Collins,3 replications,OK92403,8,3269,77.2,70,145,15
Colorado,Fort Collins,3 replications,TX91D6913,9,4261,72.7,75,150,10
Colorado,Fort Collins,3 replications,TX91D6991,10,4355,73.5,80,149,1
Colorado,Fort Collins,3 replications,TX92V3108,11,3238,77.9,85,144,20
Colorado,Fort Collins,3 replications,HBI0531-A2,12,3979,74.9,80,144,5
Colorado,Fort Collins,3 replications,TX93V5919,13,4725,76.8,85,149,5
Colorado,Fort Collins,3 replications,TX93V5922,14,4005,77.3,90,148,5
Colorado,Fort Collins,3 replications,TX93V4927,15,4123,76.2,75,151,5
Colorado,Fort Collins,3 replications,TX92V2519,16,3851,75.6,70,145,5
Colorado,Fort Collins,3 replications,TXGH12588-105,17,4030,75.3,80,149,1
Colorado,Fort Collins,3 replications,CO910424,18,4470,76.7,90,148,1
Colorado,Fort Collins,3 replications,CO910748,19,4965,76.8,105,151,1
Colorado,Fort Collins,3 replications,KS91H153-2,20,3375,77.3,70,144,10
Colorado,Fort Collins,3 replications,KS941064-3,21,2214,73.2,75,146,20
Colorado,Fort Collins,3 replications,KS941064-6,22,2333,73.8,75,152,15
Colorado,Fort Collins,3 replications,KS940935-7-2-1,23,3297,75,85,151,10
Colorado,Fort Collins,3 replications,KS940935-125-5-2,24,3498,73.8,80,149,5
Colorado,Fort Collins,3 replications,KS85W663-11-6-MB,25,3244,75.6,85,152,10
Colorado,Fort Collins,3 replications,KS84W063-9-39-3-MB,26,4100,74.4,95,154,5
Colorado,Fort Collins,3 replications,NE90476,27,3968,74.6,75,144,5
Colorado,Fort Collins,3 replications,NE92458,28,2997,76.8,85,148,10
Colorado,Fort Collins,3 replications,NE92646,29,4221,76,85,145,5
Colorado,Fort Collins,3 replications,NE93405,30,3964,75.7,90,149,5
Colorado,Fort Collins,3 replications,NE93427,31,3747,76.6,90,145,10
Colorado,Fort Collins,3 replications,WX92-0408,32,3663,75.3,75,144,15
Colorado,Fort Collins,3 replications,W93-460,33,4502,75.1,90,154,5
Colorado,Fort Collins,3 replications,T702,34,4288,76,90,147,5
Colorado,Fort Collins,3 replications,T834,35,3559,74.2,95,147,5
Colorado,Fort Collins,3 replications,T812,36,4181,76.1,85,145,5
Colorado,Fort Collins,3 replications,T861,37,2642,74.6,95,144,5
Colorado,Fort Collins,3 replications,T89,38,3597,74.8,100,144,1
Colorado,Fort Collins,3 replications,G1878,39,3325,77.2,90,146,5
