state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),winter survival (0-9)
Colorado,Burlington,3 replications,CI1442,1,1693,72.6,0
Colorado,Burlington,3 replications,CI13996,2,2526,73.5,1
Colorado,Burlington,3 replications,PI495594,3,2561,70.8,1
Colorado,Burlington,3 replications,KS93U206,4,2472,72.2,0
Colorado,Burlington,3 replications,OK91P648,5,2088,67.6,1
Colorado,Burlington,3 replications,OK93P735,6,1051,66.8,1
Colorado,Burlington,3 replications,OK93P634,7,1401,69.6,2
Colorado,Burlington,3 replications,OK92403,8,1997,72.3,1
Colorado,Burlington,3 replications,TX91D6913,9,2215,67.2,2
Colorado,Burlington,3 replications,TX91D6991,10,2114,66.6,2
Colorado,Burlington,3 replications,TX92V3108,11,2159,74.4,1
Colorado,Burlington,3 replications,HBI0531-A2,12,2153,69.3,2
Colorado,Burlington,3 replications,TX93V5919,13,1601,67.7,3
Colorado,Burlington,3 replications,TX93V5922,14,1236,71,9
Colorado,Burlington,3 replications,TX93V4927,15,1434,70.9,7
Colorado,Burlington,3 replications,TX92V2519,16,1786,71.7,6
Colorado,Burlington,3 replications,TXGH12588-105,17,2094,71.4,0
Colorado,Burlington,3 replications,CO910424,18,2339,72.1,1
Colorado,Burlington,3 replications,CO910748,19,2387,72.7,1
Colorado,Burlington,3 replications,KS91H153-2,20,2176,72.8,1
Colorado,Burlington,3 replications,KS941064-3,21,1768,69.4,0
Colorado,Burlington,3 replications,KS941064-6,22,1804,69,1
Colorado,Burlington,3 replications,KS940935-7-2-1,23,1950,73.9,2
Colorado,Burlington,3 replications,KS940935-125-5-2,24,1861,68.9,0
Colorado,Burlington,3 replications,KS85W663-11-6-MB,25,1679,71.4,0
Colorado,Burlington,3 replications,KS84W063-9-39-3-MB,26,2022,69.6,0
Colorado,Burlington,3 replications,NE90476,27,2579,70.7,0
Colorado,Burlington,3 replications,NE92458,28,2127,72.2,0
Colorado,Burlington,3 replications,NE92646,29,2447,71.5,2
Colorado,Burlington,3 replications,NE93405,30,2106,74,0
Colorado,Burlington,3 replications,NE93427,31,2165,73.6,0
Colorado,Burlington,3 replications,WX92-0408,32,2595,73.2,0
Colorado,Burlington,3 replications,W93-460,33,1761,72.8,0
Colorado,Burlington,3 replications,T702,34,2796,72.4,1
Colorado,Burlington,3 replications,T834,35,2828,70.9,0
Colorado,Burlington,3 replications,T812,36,2824,71.5,0
Colorado,Burlington,3 replications,T861,37,2684,72.1,0
Colorado,Burlington,3 replications,T89,38,2633,70.3,0
Colorado,Burlington,3 replications,G1878,39,1735,72.4,0
