state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm)
Nebraska,Hemingford,3 replications,CI1442,1,3162,80.6,116
Nebraska,Hemingford,3 replications,CI13996,2,4069,81.8,95
Nebraska,Hemingford,3 replications,PI495594,3,3853,80,76
Nebraska,Hemingford,3 replications,KS93U206,4,3770,81.3,84
Nebraska,Hemingford,3 replications,OK91P648,5,3015,78.8,76
Nebraska,Hemingford,3 replications,OK93P735,6,3720,81.1,77
Nebraska,Hemingford,3 replications,OK93P634,7,3695,81,76
Nebraska,Hemingford,3 replications,OK92403,8,3932,79.6,74
Nebraska,Hemingford,3 replications,TX91D6913,9,4065,77.1,77
Nebraska,Hemingford,3 replications,TX91D6991,10,4635,80,79
Nebraska,Hemingford,3 replications,TX92V3108,11,3591,82.8,81
Nebraska,Hemingford,3 replications,HBI0531-A2,12,4649,80.9,84
Nebraska,Hemingford,3 replications,TX93V5919,13,4300,80.4,86
Nebraska,Hemingford,3 replications,TX93V5922,14,3402,81,91
Nebraska,Hemingford,3 replications,TX93V4927,15,3128,80,76
Nebraska,Hemingford,3 replications,TX92V2519,16,3166,78.7,88
Nebraska,Hemingford,3 replications,TXGH12588-105,17,3697,78.3,85
Nebraska,Hemingford,3 replications,CO910424,18,4203,80,85
Nebraska,Hemingford,3 replications,CO910748,19,3657,80.1,85
Nebraska,Hemingford,3 replications,KS91H153-2,20,3179,81.9,75
Nebraska,Hemingford,3 replications,KS941064-3,21,3922,78.6,77
Nebraska,Hemingford,3 replications,KS941064-6,22,3824,78,83
Nebraska,Hemingford,3 replications,KS940935-7-2-1,23,4165,80.8,88
Nebraska,Hemingford,3 replications,KS940935-125-5-2,24,4344,79.7,81
Nebraska,Hemingford,3 replications,KS85W663-11-6-MB,25,4054,80.4,81
Nebraska,Hemingford,3 replications,KS84W063-9-39-3-MB,26,4079,80.5,90
Nebraska,Hemingford,3 replications,NE90476,27,3964,78.9,91
Nebraska,Hemingford,3 replications,NE92458,28,3858,80.9,88
Nebraska,Hemingford,3 replications,NE92646,29,4315,79.1,86
Nebraska,Hemingford,3 replications,NE93405,30,4311,81.7,86
Nebraska,Hemingford,3 replications,NE93427,31,4451,81.1,85
Nebraska,Hemingford,3 replications,WX92-0408,32,4231,80.5,79
Nebraska,Hemingford,3 replications,W93-460,33,3977,80.1,86
Nebraska,Hemingford,3 replications,T702,34,4038,83.5,77
Nebraska,Hemingford,3 replications,T834,35,4403,81.3,85
Nebraska,Hemingford,3 replications,T812,36,3948,80.6,80
Nebraska,Hemingford,3 replications,T861,37,3955,80.8,85
Nebraska,Hemingford,3 replications,T89,38,3860,80.2,81
Nebraska,Hemingford,3 replications,G1878,39,3498,82.8,83
