state,city,reps,line,entry,yield (kg/ha),plant height (cm),days to heading from 1/1,leaf disease (0-9)
Nebraska,Imperial (Irr.),3 replications,CI1442,1,2782,124,157,5
Nebraska,Imperial (Irr.),3 replications,CI13996,2,3943,118,151,6
Nebraska,Imperial (Irr.),3 replications,PI495594,3,5447,98,147,3
Nebraska,Imperial (Irr.),3 replications,KS93U206,4,5849,104,147,2
Nebraska,Imperial (Irr.),3 replications,OK91P648,5,6290,96,149,2
Nebraska,Imperial (Irr.),3 replications,OK93P735,6,5797,95,150,3
Nebraska,Imperial (Irr.),3 replications,OK93P634,7,5582,92,149,4
Nebraska,Imperial (Irr.),3 replications,OK92403,8,5230,88,148,4
Nebraska,Imperial (Irr.),3 replications,TX91D6913,9,5239,100,153,3
Nebraska,Imperial (Irr.),3 replications,TX91D6991,10,5665,92,151,2
Nebraska,Imperial (Irr.),3 replications,TX92V3108,11,6801,102,149,2
Nebraska,Imperial (Irr.),3 replications,HBI0531-A2,12,6922,90,149,1
Nebraska,Imperial (Irr.),3 replications,TX93V5919,13,5510,108,151,4
Nebraska,Imperial (Irr.),3 replications,TX93V5922,14,4858,95,149,5
Nebraska,Imperial (Irr.),3 replications,TX93V4927,15,5777,88,150,3
Nebraska,Imperial (Irr.),3 replications,TX92V2519,16,5349,96,148,4
Nebraska,Imperial (Irr.),3 replications,TXGH12588-105,17,5158,98,149,3
Nebraska,Imperial (Irr.),3 replications,CO910424,18,5990,1008,147,4
Nebraska,Imperial (Irr.),3 replications,CO910748,19,5994,102,149,3
Nebraska,Imperial (Irr.),3 replications,KS91H153-2,20,5147,95,149,4
Nebraska,Imperial (Irr.),3 replications,KS941064-3,21,5676,100,147,2
Nebraska,Imperial (Irr.),3 replications,KS941064-6,22,5916,98,148,1
Nebraska,Imperial (Irr.),3 replications,KS940935-7-2-1,23,5849,102,147,3
Nebraska,Imperial (Irr.),3 replications,KS940935-125-5-2,24,6221,102,147,3
Nebraska,Imperial (Irr.),3 replications,KS85W663-11-6-MB,25,5887,97,151,3
Nebraska,Imperial (Irr.),3 replications,KS84W063-9-39-3-MB,26,6129,102,154,2
Nebraska,Imperial (Irr.),3 replications,NE90476,27,5696,108,150,4
Nebraska,Imperial (Irr.),3 replications,NE92458,28,5642,106,149,3
Nebraska,Imperial (Irr.),3 replications,NE92646,29,5938,105,150,4
Nebraska,Imperial (Irr.),3 replications,NE93405,30,5120,112,151,3
Nebraska,Imperial (Irr.),3 replications,NE93427,31,5315,105,151,4
Nebraska,Imperial (Irr.),3 replications,WX92-0408,32,5472,94,149,3
Nebraska,Imperial (Irr.),3 replications,W93-460,33,5207,112,153,2
Nebraska,Imperial (Irr.),3 replications,T702,34,6366,94,151,3
Nebraska,Imperial (Irr.),3 replications,T834,35,6476,108,149,2
Nebraska,Imperial (Irr.),3 replications,T812,36,6075,98,146,4
Nebraska,Imperial (Irr.),3 replications,T861,37,6420,108,146,3
Nebraska,Imperial (Irr.),3 replications,T89,38,5207,102,148,4
Nebraska,Imperial (Irr.),3 replications,G1878,39,5685,106,151,3
