state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),days to heading from 1/1,lodging (0-9),winter survival (%)
South Dakota,Pierre,3 replications,CI1442,1,2515,77.3,175,7,47
South Dakota,Pierre,3 replications,CI13996,2,2607,78.1,170,6,57
South Dakota,Pierre,3 replications,PI495594,3,3358,74.1,168,3,33
South Dakota,Pierre,3 replications,KS93U206,4,2553,76.5,169,2,33
South Dakota,Pierre,3 replications,OK91P648,5,126,.,.,.,1
South Dakota,Pierre,3 replications,OK93P735,6,549,75.7,172,.,4
South Dakota,Pierre,3 replications,OK93P634,7,504,71.9,169,.,4
South Dakota,Pierre,3 replications,OK92403,8,504,73.7,172,.,7
South Dakota,Pierre,3 replications,TX91D6913,9,3143,76,171,2,13
South Dakota,Pierre,3 replications,TX91D6991,10,2596,73.2,170,2,17
South Dakota,Pierre,3 replications,TX92V3108,11,2726,79.3,171,2,10
South Dakota,Pierre,3 replications,HBI0531-A2,12,2143,75.3,170,2,13
South Dakota,Pierre,3 replications,TX93V5919,13,307,76,.,.,1
South Dakota,Pierre,3 replications,TX93V5922,14,11802,77.7,169,2,10
South Dakota,Pierre,3 replications,TX93V4927,15,2703,77,172,2,20
South Dakota,Pierre,3 replications,TX92V2519,16,1029,75.5,173,1,7
South Dakota,Pierre,3 replications,TXGH12588-105,17,2134,77.2,169,1,13
South Dakota,Pierre,3 replications,CO910424,18,2717,78,169,3,33
South Dakota,Pierre,3 replications,CO910748,19,1679,76.8,171,2,7
South Dakota,Pierre,3 replications,KS91H153-2,20,1475,79,169,1,14
South Dakota,Pierre,3 replications,KS941064-3,21,2390,75.6,170,1,27
South Dakota,Pierre,3 replications,KS941064-6,22,3320,74.8,170,1,33
South Dakota,Pierre,3 replications,KS940935-7-2-1,23,2809,77.6,170,1,33
South Dakota,Pierre,3 replications,KS940935-125-5-2,24,1740,77.2,171,.,17
South Dakota,Pierre,3 replications,KS85W663-11-6-MB,25,117,.,172,.,1
South Dakota,Pierre,3 replications,KS84W063-9-39-3-MB,26,1349,77,171,1,10
South Dakota,Pierre,3 replications,NE90476,27,3172,75.9,171,5,57
South Dakota,Pierre,3 replications,NE92458,28,3493,79.2,171,3,43
South Dakota,Pierre,3 replications,NE92646,29,2085,79.3,172,2,33
South Dakota,Pierre,3 replications,NE93405,30,4039,77.6,168,2,50
South Dakota,Pierre,3 replications,NE93427,31,3250,78.6,170,5,30
South Dakota,Pierre,3 replications,WX92-0408,32,3329,77.4,169,2,17
South Dakota,Pierre,3 replications,W93-460,33,1419,74.3,173,1,10
South Dakota,Pierre,3 replications,T702,34,1054,78.9,171,.,10
South Dakota,Pierre,3 replications,T834,35,3109,75.4,171,5,23
South Dakota,Pierre,3 replications,T812,36,2302,75.4,170,6,30
South Dakota,Pierre,3 replications,T861,37,2174,77.6,168,5,30
South Dakota,Pierre,3 replications,T89,38,1515,76.8,168,5,13
South Dakota,Pierre,3 replications,G1878,39,1982,79.6,170,3,10
