state,city,reps,line,entry,winter survival (%)
South Dakota,Brookings,3 replications,CI1442,1,47
South Dakota,Brookings,3 replications,CI13996,2,37
South Dakota,Brookings,3 replications,PI495594,3,27
South Dakota,Brookings,3 replications,KS93U206,4,33
South Dakota,Brookings,3 replications,OK91P648,5,4
South Dakota,Brookings,3 replications,OK93P735,6,7
South Dakota,Brookings,3 replications,OK93P634,7,10
South Dakota,Brookings,3 replications,OK92403,8,13
South Dakota,Brookings,3 replications,TX91D6913,9,10
South Dakota,Brookings,3 replications,TX91D6991,10,7
South Dakota,Brookings,3 replications,TX92V3108,11,20
South Dakota,Brookings,3 replications,HBI0531-A2,12,13
South Dakota,Brookings,3 replications,TX93V5919,13,7
South Dakota,Brookings,3 replications,TX93V5922,14,10
South Dakota,Brookings,3 replications,TX93V4927,15,10
South Dakota,Brookings,3 replications,TX92V2519,16,10
South Dakota,Brookings,3 replications,TXGH12588-105,17,10
South Dakota,Brookings,3 replications,CO910424,18,27
South Dakota,Brookings,3 replications,CO910748,19,20
South Dakota,Brookings,3 replications,KS91H153-2,20,7
South Dakota,Brookings,3 replications,KS941064-3,21,33
South Dakota,Brookings,3 replications,KS941064-6,22,40
South Dakota,Brookings,3 replications,KS940935-7-2-1,23,27
South Dakota,Brookings,3 replications,KS940935-125-5-2,24,10
South Dakota,Brookings,3 replications,KS85W663-11-6-MB,25,1
South Dakota,Brookings,3 replications,KS84W063-9-39-3-MB,26,7
South Dakota,Brookings,3 replications,NE90476,27,30
South Dakota,Brookings,3 replications,NE92458,28,40
South Dakota,Brookings,3 replications,NE92646,29,13
South Dakota,Brookings,3 replications,NE93405,30,40
South Dakota,Brookings,3 replications,NE93427,31,40
South Dakota,Brookings,3 replications,WX92-0408,32,20
South Dakota,Brookings,3 replications,W93-460,33,1
South Dakota,Brookings,3 replications,T702,34,13
South Dakota,Brookings,3 replications,T834,35,37
South Dakota,Brookings,3 replications,T812,36,17
South Dakota,Brookings,3 replications,T861,37,27
South Dakota,Brookings,3 replications,T89,38,13
South Dakota,Brookings,3 replications,G1878,39,17
South Dakota,Brookings,3 replications,ARAPAHOE,40,50
South Dakota,Brookings,3 replications,SD89119,41,33
South Dakota,Brookings,3 replications,ROSE,42,40
South Dakota,Brookings,3 replications,SD89119,43,37
South Dakota,Brookings,3 replications,ROUGHRIDER,44,70
South Dakota,Brookings,3 replications,SD89205,45,40
