state,city,reps,line,entry,yield (kg/ha),plant height (cm),lodging (0-9)
Missouri,Columbia,3 replications,CI1442,1,1015,112,2
Missouri,Columbia,3 replications,CI13996,2,1076,102,.
Missouri,Columbia,3 replications,PI495594,3,666,69,0
Missouri,Columbia,3 replications,KS93U206,4,511,71,0
Missouri,Columbia,3 replications,OK91P648,5,20,53,0
Missouri,Columbia,3 replications,OK93P735,6,262,74,0
Missouri,Columbia,3 replications,OK93P634,7,13,58,0
Missouri,Columbia,3 replications,OK92403,8,27,64,0
Missouri,Columbia,3 replications,TX91D6913,9,195,71,0
Missouri,Columbia,3 replications,TX91D6991,10,612,66,0
Missouri,Columbia,3 replications,TX92V3108,11,7,58,0
Missouri,Columbia,3 replications,HBI0531-A2,12,94,58,0
Missouri,Columbia,3 replications,TX93V5919,13,27,61,0
Missouri,Columbia,3 replications,TX93V5922,14,7,.,0
Missouri,Columbia,3 replications,TX93V4927,15,.,.,.
Missouri,Columbia,3 replications,TX92V2519,16,.,.,.
Missouri,Columbia,3 replications,TXGH12588-105,17,81,58,0
Missouri,Columbia,3 replications,CO910424,18,706,74,0
Missouri,Columbia,3 replications,CO910748,19,40,61,1
Missouri,Columbia,3 replications,KS91H153-2,20,101,64,0
Missouri,Columbia,3 replications,KS941064-3,21,1278,66,0
Missouri,Columbia,3 replications,KS941064-6,22,27,64,0
Missouri,Columbia,3 replications,KS940935-7-2-1,23,693,74,0
Missouri,Columbia,3 replications,KS940935-125-5-2,24,2071,69,0
Missouri,Columbia,3 replications,KS85W663-11-6-MB,25,13,53,0
Missouri,Columbia,3 replications,KS84W063-9-39-3-MB,26,249,74,0
Missouri,Columbia,3 replications,NE90476,27,296,76,0
Missouri,Columbia,3 replications,NE92458,28,101,71,0
Missouri,Columbia,3 replications,NE92646,29,87,69,1
Missouri,Columbia,3 replications,NE93405,30,1553,84,0
Missouri,Columbia,3 replications,NE93427,31,155,69,0
Missouri,Columbia,3 replications,WX92-0408,32,565,71,0
Missouri,Columbia,3 replications,W93-460,33,20,61,0
Missouri,Columbia,3 replications,T702,34,67,53,0
Missouri,Columbia,3 replications,T834,35,377,74,0
Missouri,Columbia,3 replications,T812,36,807,66,0
Missouri,Columbia,3 replications,T861,37,1318,66,1
Missouri,Columbia,3 replications,T89,38,511,69,0
Missouri,Columbia,3 replications,G1878,39,827,66,0
