state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,loding (%)
New Mexico,Farmington,4 replications,CI1442,1,3714,76.4,75,138,0
New Mexico,Farmington,4 replications,CI13996,2,5207,75.6,74,139,10
New Mexico,Farmington,4 replications,PI495594,3,6503,76.1,74,140,0
New Mexico,Farmington,4 replications,KS93U206,4,5910,76,76,136,34
New Mexico,Farmington,4 replications,OK91P648,5,6701,72.2,73,132,0
New Mexico,Farmington,4 replications,OK93P735,6,6280,72.5,70,135,0
New Mexico,Farmington,4 replications,OK93P634,7,5327,73,72,134,0
New Mexico,Farmington,4 replications,OK92403,8,6510,77.8,71,136,0
New Mexico,Farmington,4 replications,TX91D6913,9,6478,73.5,76,138,0
New Mexico,Farmington,4 replications,TX91D6991,10,6939,72.4,72,140,0
New Mexico,Farmington,4 replications,TX92V3108,11,6285,75.9,71,133,0
New Mexico,Farmington,4 replications,HBI0531-A2,12,6853,76.2,78,139,0
New Mexico,Farmington,4 replications,TX93V5919,13,5789,78.8,78,138,0
New Mexico,Farmington,4 replications,TX93V5922,14,6628,75.9,79,135,0
New Mexico,Farmington,4 replications,TX93V4927,15,6232,75,71,128,0
New Mexico,Farmington,4 replications,TX92V2519,16,5438,77,72,134,0
New Mexico,Farmington,4 replications,TXGH12588-105,17,6359,76.2,72,140,0
New Mexico,Farmington,4 replications,CO910424,18,6931,75.3,71,136,0
New Mexico,Farmington,4 replications,CO910748,19,6774,77.9,82,134,0
New Mexico,Farmington,4 replications,KS91H153-2,20,5312,77.2,74,136,0
New Mexico,Farmington,4 replications,KS941064-3,21,5079,74.1,76,139,0
New Mexico,Farmington,4 replications,KS941064-6,22,4859,73.9,76,136,0
New Mexico,Farmington,4 replications,KS940935-7-2-1,23,5311,75.4,74,139,0
New Mexico,Farmington,4 replications,KS940935-125-5-2,24,6487,75.1,77,135,0
New Mexico,Farmington,4 replications,KS85W663-11-6-MB,25,5109,72.1,83,145,20
New Mexico,Farmington,4 replications,KS84W063-9-39-3-MB,26,5476,72.7,70,133,3
New Mexico,Farmington,4 replications,NE90476,27,5630,74.6,81,142,0
New Mexico,Farmington,4 replications,NE92458,28,5587,73.9,77,133,1
New Mexico,Farmington,4 replications,NE92646,29,5128,73.5,69,139,0
New Mexico,Farmington,4 replications,NE93405,30,5899,75.4,68,139,0
New Mexico,Farmington,4 replications,NE93427,31,6437,77.7,79,140,0
New Mexico,Farmington,4 replications,WX92-0408,32,7339,76.9,74,136,0
New Mexico,Farmington,4 replications,W93-460,33,5405,71.6,72,138,0
New Mexico,Farmington,4 replications,T702,34,7029,77.3,80,134,28
New Mexico,Farmington,4 replications,T834,35,5066,74.2,74,143,0
New Mexico,Farmington,4 replications,T812,36,6857,77.5,73,139,0
New Mexico,Farmington,4 replications,T861,37,5397,74.6,77,140,0
New Mexico,Farmington,4 replications,T89,38,5550,75.6,73,141,0
New Mexico,Farmington,4 replications,G1878,39,5155,75.6,88,140,28
