state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,winter injury (0-4)
Texas,Bushland (Irr.),3 replications,CI1442,1,3410,79.7,96,133,0.5
Texas,Bushland (Irr.),3 replications,CI13996,2,4510,80.1,85,125,0.5
Texas,Bushland (Irr.),3 replications,PI495594,3,5104,80.9,72,122,0.5
Texas,Bushland (Irr.),3 replications,KS93U206,4,5084,81.3,73,123,0.5
Texas,Bushland (Irr.),3 replications,OK91P648,5,5317,78.8,63,124,1.5
Texas,Bushland (Irr.),3 replications,OK93P735,6,5497,81.4,70,125,1
Texas,Bushland (Irr.),3 replications,OK93P634,7,4835,80.1,66,125,1
Texas,Bushland (Irr.),3 replications,OK92403,8,4977,81.1,67,124,1
Texas,Bushland (Irr.),3 replications,TX91D6913,9,4914,77.1,75,127,1.5
Texas,Bushland (Irr.),3 replications,TX91D6991,10,5541,79.6,68,124,1.5
Texas,Bushland (Irr.),3 replications,TX92V3108,11,5405,83.3,73,124,1.5
Texas,Bushland (Irr.),3 replications,HBI0531-A2,12,5911,80.1,68,124,1.5
Texas,Bushland (Irr.),3 replications,TX93V5919,13,5364,82,73,129,1
Texas,Bushland (Irr.),3 replications,TX93V5922,14,4214,82.9,69,129,1.5
Texas,Bushland (Irr.),3 replications,TX93V4927,15,4353,79.6,64,130,2
Texas,Bushland (Irr.),3 replications,TX92V2519,16,4365,80.5,63,128,1
Texas,Bushland (Irr.),3 replications,TXGH12588-105,17,4685,80.2,73,124,0.5
Texas,Bushland (Irr.),3 replications,CO910424,18,5557,81.4,78,124,0.5
Texas,Bushland (Irr.),3 replications,CO910748,19,4968,80.8,73,127,1
Texas,Bushland (Irr.),3 replications,KS91H153-2,20,5017,82,68,125,1
Texas,Bushland (Irr.),3 replications,KS941064-3,21,4678,78.6,69,125,1.5
Texas,Bushland (Irr.),3 replications,KS941064-6,22,5358,78.4,67,125,1.5
Texas,Bushland (Irr.),3 replications,KS940935-7-2-1,23,5019,81,75,125,1.5
Texas,Bushland (Irr.),3 replications,KS940935-125-5-2,24,5250,79.9,72,125,1.5
Texas,Bushland (Irr.),3 replications,KS85W663-11-6-MB,25,4539,81.3,70,127,2
Texas,Bushland (Irr.),3 replications,KS84W063-9-39-3-MB,26,4600,79.7,76,129,1.5
Texas,Bushland (Irr.),3 replications,NE90476,27,5192,79.2,74,125,0.5
Texas,Bushland (Irr.),3 replications,NE92458,28,4580,79.9,72,124,1
Texas,Bushland (Irr.),3 replications,NE92646,29,5064,79.3,75,128,1
Texas,Bushland (Irr.),3 replications,NE93405,30,4212,81,81,125,1
Texas,Bushland (Irr.),3 replications,NE93427,31,4918,80.5,76,125,1.5
Texas,Bushland (Irr.),3 replications,WX92-0408,32,5613,79.9,66,124,0.5
Texas,Bushland (Irr.),3 replications,W93-460,33,4178,80.4,73,130,1.5
Texas,Bushland (Irr.),3 replications,T702,34,5230,82.8,69,125,1.5
Texas,Bushland (Irr.),3 replications,T834,35,5198,78.2,78,125,1
Texas,Bushland (Irr.),3 replications,T812,36,5214,78.9,71,123,1
Texas,Bushland (Irr.),3 replications,T861,37,4421,78.8,76,123,1
Texas,Bushland (Irr.),3 replications,T89,38,4914,79.3,74,124,1
Texas,Bushland (Irr.),3 replications,G1878,39,4916,82.7,73,125,1
