state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1
Texas,Chillicothe,3 replications,CI1442,1,1968,75.7,77,120
Texas,Chillicothe,3 replications,CI13996,2,2206,73.7,68,116
Texas,Chillicothe,3 replications,PI495594,3,4353,77.4,62,108
Texas,Chillicothe,3 replications,KS93U206,4,3741,77.3,60,108
Texas,Chillicothe,3 replications,OK91P648,5,3100,74.4,50,108
Texas,Chillicothe,3 replications,OK93P735,6,3170,77.7,45,113
Texas,Chillicothe,3 replications,OK93P634,7,3221,77,50,112
Texas,Chillicothe,3 replications,OK92403,8,2688,77.9,45,110
Texas,Chillicothe,3 replications,TX91D6913,9,2107,70.6,47,116
Texas,Chillicothe,3 replications,TX91D6991,10,2759,73.9,49,111
Texas,Chillicothe,3 replications,TX92V3108,11,3598,79.2,47,110
Texas,Chillicothe,3 replications,HBI0531-A2,12,2116,71.6,45,112
Texas,Chillicothe,3 replications,TX93V5919,13,3782,78.3,49,110
Texas,Chillicothe,3 replications,TX93V5922,14,3717,79.2,55,109
Texas,Chillicothe,3 replications,TX93V4927,15,2827,77,43,114
Texas,Chillicothe,3 replications,TX92V2519,16,2273,74,37,112
Texas,Chillicothe,3 replications,TXGH12588-105,17,2739,74.8,46,108
Texas,Chillicothe,3 replications,CO910424,18,2488,76.5,40,113
Texas,Chillicothe,3 replications,CO910748,19,2840,74.3,46,116
Texas,Chillicothe,3 replications,KS91H153-2,20,2488,75.9,36,115
Texas,Chillicothe,3 replications,KS941064-3,21,2872,74.4,50,110
Texas,Chillicothe,3 replications,KS941064-6,22,3080,74.8,50,110
Texas,Chillicothe,3 replications,KS940935-7-2-1,23,2851,76.1,51,112
Texas,Chillicothe,3 replications,KS940935-125-5-2,24,3347,75.3,54,110
Texas,Chillicothe,3 replications,KS85W663-11-6-MB,25,2495,77.5,51,115
Texas,Chillicothe,3 replications,KS84W063-9-39-3-MB,26,1997,75.2,55,114
Texas,Chillicothe,3 replications,NE90476,27,3788,73.5,53,114
Texas,Chillicothe,3 replications,NE92458,28,3443,77.3,55,109
Texas,Chillicothe,3 replications,NE92646,29,2358,73.9,51,116
Texas,Chillicothe,3 replications,NE93405,30,2959,78.2,57,110
Texas,Chillicothe,3 replications,NE93427,31,3179,78.6,52,109
Texas,Chillicothe,3 replications,WX92-0408,32,3434,75.1,52,113
Texas,Chillicothe,3 replications,W93-460,33,3555,77.8,56,112
Texas,Chillicothe,3 replications,T702,34,3322,78.2,50,110
Texas,Chillicothe,3 replications,T834,35,2860,74.2,50,116
Texas,Chillicothe,3 replications,T812,36,2719,75.6,40,110
Texas,Chillicothe,3 replications,T861,37,3587,76,52,109
Texas,Chillicothe,3 replications,T89,38,3936,77.3,46,109
Texas,Chillicothe,3 replications,G1878,39,2607,79.5,48,113
