state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),days to heading from 1/1,winter survival (0-9)
Texas,Prosper,3 replications,CI1442,1,3118,71.9,119,4
Texas,Prosper,3 replications,CI13996,2,4557,78.9,114,4
Texas,Prosper,3 replications,PI495594,3,4555,78.3,104,4
Texas,Prosper,3 replications,KS93U206,4,4629,79.2,103,4
Texas,Prosper,3 replications,OK91P648,5,5059,76.9,103,4
Texas,Prosper,3 replications,OK93P735,6,4398,77.1,102,4
Texas,Prosper,3 replications,OK93P634,7,4004,78.7,104,5
Texas,Prosper,3 replications,OK92403,8,4252,79.9,99,4
Texas,Prosper,3 replications,TX91D6913,9,5207,75.2,109,4
Texas,Prosper,3 replications,TX91D6991,10,4887,76.1,102,4
Texas,Prosper,3 replications,TX92V3108,11,4602,82.7,100,4
Texas,Prosper,3 replications,HBI0531-A2,12,4690,76.4,107,4
Texas,Prosper,3 replications,TX93V5919,13,4963,79.6,104,5
Texas,Prosper,3 replications,TX93V5922,14,4452,81.1,102,4
Texas,Prosper,3 replications,TX93V4927,15,4486,78.9,114,5
Texas,Prosper,3 replications,TX92V2519,16,4743,78.2,113,4
Texas,Prosper,3 replications,TXGH12588-105,17,4519,76.2,104,5
Texas,Prosper,3 replications,CO910424,18,4060,80.4,111,5
Texas,Prosper,3 replications,CO910748,19,4544,78,114,4
Texas,Prosper,3 replications,KS91H153-2,20,4703,78.8,114,4
Texas,Prosper,3 replications,KS941064-3,21,4932,76.1,104,3
Texas,Prosper,3 replications,KS941064-6,22,5169,76,103,3
Texas,Prosper,3 replications,KS940935-7-2-1,23,4981,79.3,107,3
Texas,Prosper,3 replications,KS940935-125-5-2,24,4797,76.8,105,4
Texas,Prosper,3 replications,KS85W663-11-6-MB,25,4553,78.6,111,4
Texas,Prosper,3 replications,KS84W063-9-39-3-MB,26,4246,77.9,108,4
Texas,Prosper,3 replications,NE90476,27,4600,75.6,115,4
Texas,Prosper,3 replications,NE92458,28,4867,80.1,102,4
Texas,Prosper,3 replications,NE92646,29,4387,77.1,117,4
Texas,Prosper,3 replications,NE93405,30,4452,80,105,5
Texas,Prosper,3 replications,NE93427,31,4219,80.1,105,6
Texas,Prosper,3 replications,WX92-0408,32,4589,78.2,112,4
Texas,Prosper,3 replications,W93-460,33,4331,78.4,110,4
Texas,Prosper,3 replications,T702,34,5053,79.9,106,4
Texas,Prosper,3 replications,T834,35,4651,77.3,113,4
Texas,Prosper,3 replications,T812,36,4853,78.4,105,4
Texas,Prosper,3 replications,T861,37,4642,77,105,4
Texas,Prosper,3 replications,T89,38,4625,78,101,4
Texas,Prosper,3 replications,G1878,39,4365,81.1,110,4
