state,city,reps,line,entry,yield (kg/ha)
,,,CI1442,1,
,,,CI13996,2,
,,,PI495594,3,
,,,OK94P549-2C,4,
,,,OK95616-14C,5,
,,,OK95571,6,
,,,OK96717,7,
,,,OK95548-26C,8,
,,,TX93D2066,9,
,,,TX95D8283,10,
,,,TX90A9528,11,
,,,TX94V5922,12,
,,,TX95V4339,13,
,,,TX95V5905,14,
,,,TX97V4311,15,
,,,CO940611,16,
,,,CO950043,17,
,,,Trego,18,
,,,KS95H167-3,19,
,,,KS96HW10-3,20,
,,,KS96HW115,21,
,,,KS96HW94,22,
,,,G96047,23,
,,,G96134,24,
,,,G96135,25,
,,,G96044,26,
,,,NE95510,27,
,,,NE96573,28,
,,,TK1269,29,
,,,TB1071,30,
,,,T108,31,
,,,T111,32,
,,,T112,33,
,,,T114,34,
,,,W95-385,35,
,,,W95-392,36,
,,,W95-091,37,
,,,W94-480W,38,
,,,W95-610W,39,
,,,XH1888,40,
,,,XH9806,41,
,,,XH9815,42,
,,,KS89180B-2-1-2,43,
,,,HBK0630-4-5,44,
,,,NW97S151,45,
